No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Alan Anderson\anderal01,SF,6-6,220,October 16 1982,us,7,Michigan State University
30,Brandon Bass\bassbr01,PF,6-8,250,April 30 1985,us,11,Louisiana State University
11,Jamal Crawford\crawfja01,SG,6-5,185,March 20 1980,us,16,University of Michigan
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,11,University of North Carolina
32,Blake Griffin\griffbl01,PF,6-10,250,March 16 1989,us,6,University of Oklahoma
10,Brice Johnson\johnsbr02,PF,6-10,230,June 27 1994,us,R,University of North Carolina
33,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,6,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6-11,265,July 21 1988,us,8,Texas A&M University
12,Luc Mbah a Moute\mbahalu01,SF,6-8,230,September 9 1986,cm,8,University of California Los Angeles
3,Chris Paul\paulch01,PG,6-0,175,May 6 1985,us,11,Wake Forest University
34,Paul Pierce\piercpa01,SF,6-7,235,October 13 1977,us,18,University of Kansas
4,J.J. Redick\redicjj01,SG,6-4,200,June 24 1984,us,10,Duke University
25,Austin Rivers\riverau01,SG,6-4,200,August 1 1992,us,4,Duke University
5,Marreese Speights\speigma01,C,6-10,255,August 4 1987,us,8,University of Florida
0,Diamond Stone\stonedi01,C,6-11,255,February 10 1997,us,R,University of Maryland
