Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zach Randolph\randoza01,32,79,2705,18.3,.510,.017,.281,11.6,23.3,17.4,12.7,1.1,0.7,12.0,26.1,,2.9,3.5,6.4,.113,,0.1,0.4,0.4,1.7
2,Mike Conley\conlemi01,26,73,2446,20.0,.545,.283,.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,,5.5,2.7,8.2,.161,,4.1,-0.7,3.4,3.3
3,Marc Gasol\gasolma01,29,59,1970,18.2,.526,.015,.339,5.0,20.5,12.7,17.7,1.6,3.2,12.0,21.7,,2.6,3.1,5.6,.137,,0.0,2.9,2.9,2.4
4,Tayshaun Prince\princta01,33,76,1948,8.2,.438,.140,.122,1.9,12.3,7.1,8.9,1.1,0.8,7.3,13.3,,-0.2,1.8,1.5,.038,,-3.1,0.6,-2.6,-0.3
5,Mike Miller\millemi01,33,82,1707,12.5,.619,.526,.126,2.1,12.3,7.2,11.5,0.8,0.2,14.1,14.7,,2.6,1.4,3.9,.111,,1.0,-1.0,0.1,0.9
6,Courtney Lee\leeco01,28,49,1469,13.5,.574,.329,.209,1.7,9.5,5.6,8.7,1.6,1.1,9.3,16.3,,2.2,1.5,3.7,.120,,0.8,0.2,1.0,1.1
7,Kosta Koufos\koufoko01,24,80,1349,16.5,.514,.000,.203,14.0,22.7,18.4,4.7,1.3,4.4,11.8,19.4,,1.3,2.2,3.5,.124,,-2.1,1.2,-0.9,0.4
8,Tony Allen\allento01,32,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,,0.5,2.1,2.7,.100,,-0.1,2.4,2.3,1.4
9,Nick Calathes\calatni01,24,71,1173,12.3,.506,.196,.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,,-0.1,1.6,1.5,.062,,-1.9,0.8,-1.1,0.3
10,James Johnson\johnsja01,26,52,956,18.5,.552,.282,.292,7.4,13.2,10.3,18.2,2.3,5.0,16.0,20.0,,1.4,1.6,3.0,.150,,1.3,3.2,4.5,1.6
11,Ed Davis\davised01,24,63,956,15.9,.542,.000,.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,,1.2,1.4,2.6,.129,,-1.9,0.5,-1.3,0.2
12,Jerryd Bayless\bayleje01,25,31,650,11.3,.473,.347,.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,,0.4,0.6,1.0,.077,,-0.6,-1.3,-2.0,0.0
13,Jon Leuer\leuerjo01,24,49,642,17.6,.566,.199,.191,6.8,22.4,14.6,5.2,1.5,1.7,9.2,21.1,,1.1,0.9,2.0,.149,,-0.6,-0.9,-1.6,0.1
14,Quincy Pondexter\pondequ01,25,15,270,10.3,.520,.430,.329,4.4,7.0,5.7,11.0,1.0,0.3,14.2,18.0,,0.2,0.2,0.4,.063,,-0.7,-1.9,-2.6,0.0
15,Jamaal Franklin\frankja01,22,21,161,4.7,.489,.282,.051,2.9,14.0,8.5,5.4,1.3,1.0,21.6,14.6,,-0.2,0.2,0.0,-0.002,,-5.1,-0.2,-5.4,-0.1
16,Darius Morris\morrida01,23,5,66,7.9,.433,.438,.188,7.2,7.2,7.2,17.4,2.4,0.0,25.7,16.3,,-0.1,0.1,0.0,-0.016,,-3.0,-0.2,-3.2,0.0
17,Beno Udrih\udrihbe01,31,10,55,16.0,.654,.111,.333,0.0,4.3,2.2,18.0,1.0,1.5,19.5,21.5,,0.1,0.0,0.1,.117,,-1.3,-3.3,-4.6,0.0
18,Seth Curry\curryse01,23,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.006,,-5.8,0.6,-5.2,0.0
