No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Tony Allen\allento01,SG,6-4,213,January 11 1982,us,9,Butler County Community College Oklahoma State University
7,Jerryd Bayless\bayleje01,PG,6-3,200,August 20 1988,us,5,University of Arizona
12,Nick Calathes\calatni01,SG,6-6,213,February 7 1989,us,R,University of Florida
11,Mike Conley\conlemi01,PG,6-1,175,October 11 1987,us,6,Ohio State University
1,Seth Curry\curryse01,PG,6-2,185,August 23 1990,us,R,Liberty University Duke University
32,Ed Davis\davised01,PF,6-10,225,June 5 1989,us,3,University of North Carolina
22,Jamaal Franklin\frankja01,SG,6-5,191,July 21 1991,us,R,San Diego State University
33,Marc Gasol\gasolma01,C,7-1,255,January 29 1985,es,5,
3,James Johnson\johnsja01,SF,6-8,240,February 20 1987,us,4,Wake Forest University
41,Kosta Koufos\koufoko01,C,7-0,245,February 24 1989,us,5,Ohio State University
5,Courtney Lee\leeco01,SG,6-5,215,October 3 1985,us,5,Western Kentucky University
30,Jon Leuer\leuerjo01,PF,6-10,228,May 14 1989,us,2,University of Wisconsin
13,Mike Miller\millemi01,SF,6-8,218,February 19 1980,us,13,University of Florida
7,Darius Morris\morrida01,PG,6-4,190,January 3 1991,us,2,University of Michigan
20,Quincy Pondexter\pondequ01,SG,6-7,230,March 10 1988,us,3,University of Washington
21,Tayshaun Prince\princta01,SF,6-9,212,February 28 1980,us,11,University of Kentucky
50,Zach Randolph\randoza01,PF,6-9,250,July 16 1981,us,12,Michigan State University
19,Beno Udrih\udrihbe01,SG,6-3,205,July 5 1982,si,9,
