Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Dennis Schroder\schrode01,23,79,2485,16.1,.533,.242,.210,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8,,1.2,2.5,3.7,.071,,0.7,-1.4,-0.7,0.8
2,Paul Millsap\millspa01,31,69,2343,17.8,.542,.248,.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,,2.6,3.8,6.4,.132,,0.5,2.1,2.7,2.7
3,Dwight Howard\howardw01,31,74,2199,20.8,.627,.003,.692,15.0,31.7,23.5,7.8,1.4,3.6,17.5,19.2,,3.8,4.5,8.3,.181,,-0.5,2.8,2.3,2.4
4,Tim Hardaway\hardati02,24,79,2154,15.2,.568,.457,.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,,2.7,2.1,4.8,.107,,1.3,-1.5,-0.3,0.9
5,Kent Bazemore\bazemke01,27,73,1963,11.5,.504,.369,.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,,-0.6,2.8,2.1,.052,,-2.0,1.2,-0.8,0.6
6,Thabo Sefolosha\sefolth01,32,62,1596,11.9,.519,.304,.190,3.8,14.7,9.3,9.9,3.0,1.7,11.9,13.3,,0.6,2.7,3.3,.098,,-1.9,3.1,1.2,1.3
7,Malcolm Delaney\delanma01,27,73,1248,7.5,.456,.284,.240,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,,-1.2,1.3,0.1,.005,,-4.6,-1.3,-5.9,-1.2
8,Mike Muscala\muscami01,25,70,1237,14.4,.596,.326,.190,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,,1.8,1.6,3.4,.132,,-0.4,1.5,1.1,1.0
9,Taurean Waller-Prince\princta02,22,59,981,9.8,.513,.358,.330,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,,-0.4,1.5,1.1,.054,,-3.8,1.5,-2.3,-0.1
10,Kyle Korver\korveky01,35,32,894,10.8,.591,.646,.110,0.0,10.8,5.5,12.6,1.3,1.2,13.4,14.5,,0.7,1.0,1.6,.088,,-0.5,0.1,-0.4,0.4
11,Kris Humphries\humphkr01,31,56,689,13.6,.514,.252,.383,9.7,23.0,16.4,6.4,1.1,2.6,10.1,17.6,,0.6,1.1,1.6,.115,,-3.0,0.3,-2.7,-0.1
12,Ersan Ilyasova\ilyaser01,29,26,633,13.5,.530,.407,.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,,0.5,0.9,1.4,.106,,-0.6,0.5,-0.2,0.3
13,Mike Dunleavy\dunlemi02,36,30,475,11.9,.597,.592,.200,3.1,12.5,7.9,9.5,0.9,0.9,9.0,14.3,,0.7,0.5,1.2,.120,,-0.2,-0.8,-1.0,0.1
14,DeAndre' Bembry\bembrde01,22,38,371,8.8,.481,.184,.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,,-0.1,0.4,0.3,.038,,-4.4,0.1,-4.3,-0.2
15,Jose Calderon\caldejo01,35,17,247,8.7,.504,.526,.140,3.2,11.0,7.1,21.6,0.8,0.0,19.9,13.3,,0.1,0.2,0.3,.051,,-2.8,-1.4,-4.2,-0.1
16,Mike Scott\scottmi01,28,18,195,5.9,.360,.458,.136,5.7,15.0,10.4,12.5,1.0,1.3,11.3,15.8,,-0.3,0.2,-0.1,-0.014,,-5.3,-0.1,-5.3,-0.2
17,Ryan Kelly\kellyry01,25,16,110,7.8,.408,.357,.214,1.0,16.7,9.0,10.2,1.8,3.9,11.5,13.7,,-0.1,0.2,0.1,.029,,-6.2,2.3,-3.9,-0.1
18,Lamar Patterson\pattela01,25,5,40,-1.9,.276,.400,.200,2.8,16.3,9.6,21.1,1.2,0.0,19.7,22.2,,-0.2,0.0,-0.1,-0.176,,-9.9,-1.2,-11.2,-0.1
19,Gary Neal\nealga01,32,2,18,-4.3,.228,.286,.571,0.0,6.0,3.1,7.1,0.0,0.0,0.0,21.2,,-0.1,0.0,-0.1,-0.189,,-11.8,-4.9,-16.6,-0.1
20,Edy Tavares\tavarwa01,24,1,4,13.1,.532,.000,2.000,0.0,27.1,13.7,0.0,0.0,0.0,0.0,20.5,,0.0,0.0,0.0,-0.047,,-8.1,-7.0,-15.1,0.0
