No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Luke Babbitt\babbilu01,SF,6-9,225,June 20 1989,us,7,University of Nevada Reno
24,Kent Bazemore\bazemke01,SG,6-5,201,July 1 1989,us,5,Old Dominion University
3,Marco Belinelli\belinma01,SG,6-5,210,March 25 1986,it,10,
95,DeAndre' Bembry\bembrde01,SF,6-6,210,July 4 1994,us,1,Saint Joseph's University
16,Nicolas Brussino\brussni01,SF,6-7,195,March 2 1993,ar,1,
34,Tyler Cavanaugh\cavanty01,PF,6-9,238,February 9 1994,us,R,George Washington University
0,Antonius Cleveland\clevean01,SG,6-6,195,February 2 1994,us,R,Southeast Missouri State University
20,John Collins\collijo01,PF,6-10,235,September 23 1997,us,R,Wake Forest University
14,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,4,University of Southern California
5,Malcolm Delaney\delanma01,PG,6-3,190,March 11 1989,us,1,Virginia Polytechnic Institute and State University
2,Tyler Dorsey\dorsety01,SG,6-5,183,February 18 1996,us,R,University of Oregon
6,Jeremy Evans\evansje01,SF,6-9,200,October 24 1987,us,6,Western Kentucky University
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,9,
8,Damion Lee\leeda03,SG,6-6,210,October 21 1992,us,R,Drexel University University of Louisville
11,Josh Magette\magetjo01,PG,6-1,160,November 28 1989,us,R,Alabama - Huntsville
3,Jaylen Morris\morrija01,SG,6-5,185,September 19 1995,us,R,Molloy
31,Mike Muscala\muscami01,C,6-11,240,July 1 1991,us,4,Bucknell University
18,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,5,Duke University
17,Dennis Schroder\schrode01,PG,6-1,172,September 15 1993,de,4,
22,Isaiah Taylor\taylois01,PG,6-3,170,July 11 1994,us,1,University of Texas at Austin
12,Taurean Waller-Prince\princta02,SF,6-8,220,March 22 1994,us,1,Baylor University
4,Andrew White\whitean01,SF,6-7,210,June 16 1993,us,R,University of Nebraska Syracuse University
