No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
11,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,13,Blinn College
1,Chris Bosh\boshch01,PF,6-11,235,March 24 1984,us,12,Georgia Institute of Technology
15,Mario Chalmers\chalmma01,PG,6-2,190,May 19 1986,us,7,University of Kansas
9,Luol Deng\denglu01,PF,6-9,237,April 16 1985,ss,11,Duke University
7,Goran Dragic\dragigo01,PG,6-3,190,May 6 1986,si,7,
32,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,1,California State University Long Beach
14,Gerald Green\greenge01,SG,6-7,205,January 26 1986,us,8,
40,Udonis Haslem\hasleud01,PF,6-8,235,June 9 1980,us,12,University of Florida
2,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,14,University of Arkansas
8,Tyler Johnson\johnsty01,SG,6-4,190,May 7 1992,us,1,California State University Fresno
4,Josh McRoberts\mcrobjo01,PF,6-10,240,February 28 1987,us,8,Duke University
0,Josh Richardson\richajo01,SG,6-6,200,September 15 1993,us,R,University of Tennessee
12,Jarnell Stokes\stokeja01,C,6-9,263,January 7 1994,us,1,University of Tennessee
5,Amar'e Stoudemire\stoudam01,C,6-10,245,November 16 1982,us,13,
19,Beno Udrih\udrihbe01,PG,6-3,205,July 5 1982,si,11,
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,12,Marquette University
12,Briante Weber\weberbr01,PG,6-2,165,December 29 1992,us,R,Virginia Commonwealth University
21,Hassan Whiteside\whiteha01,C,7-0,265,June 13 1989,us,3,Marshall University
20,Justise Winslow\winslju01,SF,6-7,225,March 26 1996,us,R,Duke University
11,Dorell Wright\wrighdo01,SF,6-9,205,December 2 1985,us,11,
