Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kemba Walker\walkeke02,26,79,2739,21.3,.569,.415,.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,,5.9,2.2,8.1,.142,,5.3,-1.7,3.6,3.9
2,Nicolas Batum\batumni01,28,77,2617,15.8,.529,.415,.291,1.9,18.4,10.1,27.7,1.6,1.0,15.0,22.3,,1.7,2.8,4.6,.084,,0.7,0.6,1.2,2.1
3,Michael Kidd-Gilchrist\kiddgmi01,23,81,2349,14.3,.528,.015,.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,,2.7,3.1,5.8,.119,,-2.0,2.2,0.2,1.3
4,Marvin Williams\willima02,30,76,2295,13.7,.551,.503,.213,4.2,19.8,12.0,7.1,1.3,2.0,7.2,16.3,,2.4,2.6,5.0,.105,,-0.3,0.5,0.2,1.3
5,Frank Kaminsky\kaminfr01,23,75,1954,13.0,.502,.441,.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,,0.4,1.9,2.3,.056,,-0.8,-0.8,-1.5,0.2
6,Marco Belinelli\belinma01,30,74,1778,13.3,.566,.460,.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,,2.0,1.2,3.2,.087,,0.1,-2.0,-1.9,0.1
7,Cody Zeller\zelleco01,24,62,1725,16.7,.604,.002,.442,8.6,17.3,12.9,9.1,1.8,3.0,10.9,15.5,,3.4,2.2,5.6,.157,,-0.2,2.3,2.1,1.8
8,Jeremy Lamb\lambje01,24,62,1143,17.0,.550,.297,.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,,1.4,1.3,2.7,.115,,-0.8,-0.9,-1.7,0.1
9,Ramon Sessions\sessira01,30,50,811,12.4,.495,.236,.449,1.5,8.5,4.9,24.2,1.7,0.3,12.7,20.1,,0.3,0.6,0.9,.055,,-2.4,-2.2,-4.6,-0.5
10,Roy Hibbert\hibbero01,30,42,671,13.5,.613,.000,.521,8.6,16.0,12.3,4.5,0.6,5.8,14.9,14.0,,1.0,0.8,1.8,.129,,-2.9,1.8,-1.1,0.1
11,Spencer Hawes\hawessp01,28,35,626,14.8,.545,.252,.156,5.6,20.1,12.8,16.1,1.0,3.6,14.7,19.6,,0.3,0.8,1.1,.086,,-1.8,1.2,-0.6,0.2
12,Brian Roberts\roberbr01,31,41,416,9.8,.510,.361,.320,1.3,9.0,5.2,18.7,1.1,0.2,15.7,17.9,,0.0,0.3,0.2,.028,,-3.3,-2.6,-5.9,-0.4
13,Treveon Graham\grahatr01,23,27,189,10.6,.612,.375,.375,2.9,10.0,6.4,4.7,1.6,0.5,6.0,11.8,,0.3,0.2,0.4,.108,,-1.5,-1.3,-2.8,0.0
14,Miles Plumlee\plumlmi01,28,13,174,9.0,.602,.000,.167,9.4,17.2,13.3,2.5,2.0,2.0,23.7,8.7,,0.1,0.2,0.3,.087,,-3.9,1.3,-2.5,0.0
15,Briante Weber\weberbr01,24,13,159,12.5,.483,.152,.283,5.5,9.7,7.6,15.4,2.8,0.0,8.8,16.1,,0.1,0.2,0.3,.081,,-2.1,-0.2,-2.3,0.0
16,Christian Wood\woodch01,21,13,107,15.1,.591,.217,.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,,0.1,0.1,0.3,.125,,-2.5,0.6,-2.0,0.0
17,Johnny O'Bryant\obryajo01,23,4,34,15.5,.567,.200,.133,12.9,13.0,12.9,21.6,0.0,0.0,15.9,25.0,,0.0,0.0,0.1,.078,,0.7,-3.1,-2.3,0.0
18,Mike Tobey\tobeymi01,22,2,25,-0.1,.250,.000,.000,8.7,4.4,6.6,5.4,0.0,0.0,20.0,9.0,,0.0,0.0,0.0,-0.070,,-7.4,-1.5,-8.9,0.0
19,Aaron Harrison\harriaa01,22,5,17,-2.2,.102,.500,.500,0.0,19.5,9.7,22.6,0.0,0.0,0.0,12.9,,-0.1,0.0,-0.1,-0.146,,-9.6,-2.1,-11.6,0.0
