Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Rudy Gobert\goberru01,24,81,2744,23.3,.681,.002,.762,13.6,29.5,21.8,5.7,0.9,6.4,15.0,16.7,,8.3,6.0,14.3,.250,,1.4,4.5,5.8,5.4
2,Gordon Hayward\haywago01,26,73,2516,22.2,.595,.324,.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,,7.1,3.3,10.4,.199,,4.2,0.0,4.2,4.0
3,Joe Ingles\inglejo01,29,82,1972,12.4,.604,.619,.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,,2.0,3.0,5.0,.123,,0.9,1.8,2.7,2.3
4,Joe Johnson\johnsjo02,35,78,1843,12.8,.542,.412,.123,2.1,12.8,7.6,12.6,1.0,0.8,9.5,18.5,,1.7,2.1,3.8,.099,,-0.2,-0.1,-0.3,0.8
5,Rodney Hood\hoodro01,24,59,1593,12.4,.522,.461,.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,,0.7,1.9,2.6,.078,,-0.3,-0.9,-1.2,0.3
6,George Hill\hillge01,30,49,1544,19.3,.599,.384,.323,1.8,10.5,6.2,22.8,1.7,0.6,10.9,23.5,,4.0,1.9,5.9,.182,,3.9,-0.2,3.6,2.2
7,Boris Diaw\diawbo01,34,73,1283,9.0,.494,.248,.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,,-0.1,1.2,1.1,.041,,-2.7,-0.2,-2.9,-0.3
8,Dante Exum\exumda01,21,66,1228,8.5,.521,.410,.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,,-0.1,1.3,1.2,.046,,-2.0,-0.5,-2.5,-0.1
9,Shelvin Mack\macksh01,26,55,1205,10.9,.518,.315,.202,2.0,9.8,6.0,20.4,1.8,0.2,17.8,19.6,,-0.1,1.5,1.4,.054,,-1.7,-0.1,-1.8,0.1
10,Derrick Favors\favorde01,25,50,1186,15.8,.512,.024,.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7,,0.5,2.2,2.7,.109,,-2.4,2.3,-0.1,0.6
11,Trey Lyles\lylestr01,21,71,1158,9.9,.464,.465,.180,4.9,18.1,11.7,9.5,1.2,1.4,11.9,21.7,,-0.9,1.6,0.8,.031,,-3.0,-0.1,-3.0,-0.3
12,Alec Burks\burksal01,25,42,653,11.6,.501,.306,.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,,-0.1,0.9,0.8,.056,,-3.3,-0.9,-4.2,-0.4
13,Jeff Withey\witheje01,26,51,432,18.8,.588,.010,.466,14.3,17.9,16.2,2.5,1.9,6.0,10.1,14.9,,1.0,0.9,1.8,.205,,-1.2,2.7,1.6,0.4
14,Raul Neto\netora01,24,40,346,10.7,.527,.341,.099,1.4,8.4,5.0,15.1,3.2,1.2,13.6,14.8,,0.2,0.6,0.7,.100,,-1.7,1.4,-0.3,0.1
15,Joel Bolomboy\bolomjo01,23,12,53,19.7,.590,.250,.375,9.0,27.6,18.5,6.3,1.0,3.1,9.7,18.2,,0.1,0.1,0.2,.171,,-1.3,0.5,-0.8,0.0
