No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Joel Bolomboy\bolomjo01,PF,6-9,235,January 28 1994,ua,R,Weber State University
10,Alec Burks\burksal01,SG,6-6,214,July 20 1991,us,5,University of Colorado
33,Boris Diaw\diawbo01,PF,6-8,250,April 16 1982,fr,13,
11,Dante Exum\exumda01,PG,6-6,190,July 13 1995,au,1,
15,Derrick Favors\favorde01,PF,6-10,265,July 15 1991,us,6,Georgia Institute of Technology
27,Rudy Gobert\goberru01,C,7-1,245,June 26 1992,fr,3,
20,Gordon Hayward\haywago01,SF,6-8,225,March 23 1990,us,6,Butler University
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,8,Indiana University-Purdue University Indianapolis
5,Rodney Hood\hoodro01,SG,6-8,206,October 20 1992,us,2,Mississippi State University Duke University
2,Joe Ingles\inglejo01,SF,6-8,226,October 2 1987,au,2,
6,Joe Johnson\johnsjo02,SF,6-7,240,June 29 1981,us,15,University of Arkansas
41,Trey Lyles\lylestr01,PF,6-10,234,November 5 1995,ca,1,University of Kentucky
8,Shelvin Mack\macksh01,PG,6-3,203,April 22 1990,us,5,Butler University
25,Raul Neto\netora01,PG,6-1,179,May 19 1992,br,1,
24,Jeff Withey\witheje01,C,7-0,231,March 7 1990,us,3,University of Kansas
