Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Rajon Rondo\rondora01,29,72,2537,16.9,.506,.217,.192,3.3,15.2,9.3,48.0,2.7,0.3,24.7,18.8,,2.3,2.3,4.6,.087,,0.8,0.2,1.0,1.9
2,Rudy Gay\gayru01,29,70,2379,15.5,.538,.214,.252,4.7,15.9,10.4,8.0,2.0,1.7,11.1,22.4,,1.8,2.1,3.8,.078,,-0.4,0.1,-0.4,1.0
3,DeMarcus Cousins\couside01,25,65,2246,23.6,.538,.158,.498,7.7,28.2,18.0,17.0,2.2,3.3,13.3,35.4,,2.4,3.3,5.7,.122,,1.0,1.6,2.6,2.6
4,Darren Collison\collida01,28,74,2219,15.9,.591,.280,.291,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,,4.5,0.7,5.2,.113,,1.8,-2.2,-0.4,0.9
5,Omri Casspi\casspom01,27,69,1880,13.9,.587,.441,.256,3.4,20.1,11.8,7.5,1.4,0.7,12.0,17.8,,2.1,1.5,3.6,.092,,0.3,-0.6,-0.3,0.8
6,Marco Belinelli\belinma01,29,68,1672,9.4,.500,.468,.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,.014,,-1.3,-2.9,-4.2,-0.9
7,Kosta Koufos\koufoko01,26,78,1482,15.1,.540,.000,.234,12.4,18.4,15.4,3.3,1.3,3.8,8.9,15.4,,2.1,1.4,3.5,.113,,-1.6,0.4,-1.2,0.3
8,Ben McLemore\mclembe01,22,68,1443,8.6,.531,.407,.226,2.6,8.5,5.6,7.9,1.7,0.6,16.5,17.6,,-0.4,0.7,0.3,.010,,-2.0,-1.2,-3.2,-0.4
9,Willie Cauley-Stein\caulewi01,22,66,1412,15.3,.588,.006,.369,10.3,16.6,13.5,3.8,1.6,3.8,10.5,13.2,,2.4,1.4,3.8,.130,,-0.8,1.5,0.7,1.0
10,Quincy Acy\acyqu01,25,59,876,14.7,.629,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,,1.8,0.7,2.5,.137,,0.2,0.0,0.2,0.5
11,James Anderson\anderja01,26,51,721,6.0,.469,.483,.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.3,-4.2,-0.4
12,Seth Curry\curryse01,25,44,692,13.8,.603,.496,.241,1.4,7.9,4.7,14.2,1.5,0.4,12.7,17.4,,1.2,0.2,1.4,.097,,0.9,-2.4,-1.5,0.1
13,Caron Butler\butleca01,35,17,176,11.3,.490,.305,.203,3.1,10.4,6.8,8.3,2.5,0.5,4.5,16.2,,0.1,0.1,0.3,.071,,-1.5,-1.1,-2.6,0.0
14,Eric Moreland\moreler01,24,8,48,7.4,.515,.000,.667,6.8,17.9,12.4,2.7,0.0,6.7,27.9,9.5,,0.0,0.0,0.0,.012,,-6.5,1.9,-4.5,0.0
15,Duje Dukan\dukandu01,24,1,24,4.2,.300,.500,.000,9.1,9.0,9.0,5.6,2.0,0.0,0.0,17.7,,0.0,0.0,0.0,-0.057,,-3.9,-2.8,-6.7,0.0
