No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
32,Sim Bhullar\bhullsi01,C,7-5,360,December 2 1992,ca,R,New Mexico State University
18,Omri Casspi\casspom01,SF,6-9,225,June 22 1988,il,5,
7,Darren Collison\collida01,PG,6-0,175,August 23 1987,us,5,University of California Los Angeles
15,DeMarcus Cousins\couside01,C,6-11,270,August 13 1990,us,4,University of Kentucky
30,Reggie Evans\evansre01,PF,6-8,245,May 18 1980,us,12,University of Iowa
8,Rudy Gay\gayru01,SF,6-8,230,August 17 1986,us,8,University of Connecticut
5,Ryan Hollins\holliry01,C,7-0,240,October 10 1984,us,8,University of California Los Angeles
24,Carl Landry\landrca01,PF,6-9,248,September 19 1983,us,7,Purdue University
3,Ray McCallum\mccalra01,PG,6-3,190,June 12 1991,us,1,University of Detroit Mercy
23,Ben McLemore\mclembe01,SG,6-5,201,February 11 1993,us,1,University of Kansas
22,Andre Miller\millean02,PG,6-3,200,March 19 1976,us,15,University of Utah
20,Quincy Miller\millequ01,PF,6-9,210,November 18 1992,us,2,Baylor University
25,Eric Moreland\moreler01,PF,6-10,238,December 24 1991,us,R,Oregon State University
9,Ramon Sessions\sessira01,PG,6-3,190,April 11 1986,us,7,University of Nevada Reno
10,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,R,University of Michigan
9,David Stockton\stockda01,PG,5-11,165,June 24 1991,us,R,Gonzaga University
34,Jason Thompson\thompja02,PF,6-11,250,July 21 1986,us,6,Rider University
31,David Wear\wearda01,PF,6-10,230,September 21 1990,us,R,University of North Carolina University of California Los Angeles
13,Derrick Williams\willide02,PF,6-8,240,May 25 1991,us,3,University of Arizona
