Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Carmelo Anthony\anthoca01,31,72,2530,20.3,.530,.237,.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,.121,,2.8,-0.2,2.6,2.9
2,Arron Afflalo\afflaar01,30,71,2371,10.9,.531,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,.055,,-0.6,-1.8,-2.4,-0.2
3,Robin Lopez\lopezro01,27,82,2219,17.6,.574,.002,.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,,3.7,2.1,5.8,.126,,0.1,1.3,1.4,1.9
4,Kristaps Porzingis\porzikr01,20,72,2047,17.7,.518,.274,.271,7.1,20.7,14.0,7.9,1.3,5.0,10.9,24.6,,1.5,2.9,4.4,.102,,-0.8,0.9,0.2,1.1
5,Langston Galloway\gallola01,24,82,2033,11.7,.490,.381,.194,2.3,13.0,7.7,15.7,1.9,0.8,8.7,15.6,,1.4,1.8,3.3,.077,,-0.4,0.1,-0.4,0.8
6,Jose Calderon\caldejo01,34,72,2024,12.3,.571,.446,.105,1.2,11.0,6.2,22.3,1.6,0.3,15.4,12.6,,2.7,1.4,4.0,.096,,0.5,-0.6,-0.1,1.0
7,Derrick Williams\willide02,24,80,1435,17.2,.550,.265,.453,3.6,18.7,11.3,8.9,1.0,0.5,8.3,23.3,,2.4,1.2,3.6,.120,,-0.1,-2.4,-2.6,-0.2
8,Lance Thomas\thomala01,27,59,1313,10.4,.557,.285,.312,2.9,8.0,5.4,6.4,0.9,0.4,11.6,16.9,,1.2,0.5,1.7,.062,,-1.2,-2.1,-3.2,-0.4
9,Jerian Grant\grantje02,23,76,1265,11.2,.479,.256,.315,2.0,10.2,6.2,21.8,2.0,0.6,16.3,19.0,,-0.2,1.0,0.8,.030,,-2.3,-1.1,-3.4,-0.5
10,Sasha Vujacic\vujacsa01,31,61,908,11.1,.503,.516,.141,3.2,14.6,9.0,14.3,1.9,0.4,13.0,16.8,,0.3,0.8,1.1,.060,,-0.8,-0.7,-1.5,0.1
11,Kyle O'Quinn\oquinky01,25,65,764,17.5,.520,.081,.221,11.0,24.5,17.9,15.9,1.3,4.9,17.0,21.2,,0.5,1.2,1.6,.103,,-1.8,2.5,0.7,0.5
12,Kevin Seraphin\serapke01,26,48,526,10.8,.435,.010,.112,6.5,19.5,13.1,14.8,0.8,5.2,16.7,22.2,,-0.8,0.7,-0.2,-0.015,,-5.9,1.5,-4.4,-0.3
13,Lou Amundson\amundlo01,33,29,204,6.7,.401,.000,.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,,-0.3,0.2,-0.1,-0.014,,-5.3,0.4,-5.0,-0.2
14,Cleanthony Early\earlycl01,24,17,154,2.2,.371,.375,.100,2.9,15.4,9.2,5.7,0.7,1.5,17.7,14.9,,-0.3,0.1,-0.2,-0.075,,-7.1,-1.1,-8.2,-0.2
15,Thanasis Antetokounmpo\antetth01,23,2,6,32.9,.750,.250,.000,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,.291,,6.3,-10.5,-4.1,0.0
16,Jimmer Fredette\fredeji01,26,2,5,47.4,1.094,1.000,5.000,0.0,0.0,0.0,0.0,0.0,0.0,23.8,38.0,,0.1,0.0,0.1,.514,,19.5,-10.7,8.8,0.0
