No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,3,University of Kansas
7,Carmelo Anthony\anthoca01,PF,6-8,240,May 29 1984,us,10,Syracuse University
77,Andrea Bargnani\bargnan01,C,7-0,245,October 26 1985,it,7,
26,Shannon Brown\brownsh01,SG,6-4,205,November 29 1985,us,7,Michigan State University
6,Tyson Chandler\chandty01,C,7-1,240,October 2 1982,us,12,
0,Earl Clark\clarkea01,PF,6-10,225,January 17 1988,us,4,University of Louisville
2,Raymond Felton\feltora01,PG,6-1,205,June 26 1984,us,8,University of North Carolina
5,Tim Hardaway\hardati02,SG,6-6,205,March 16 1992,us,R,University of Michigan
3,Kenyon Martin\martike01,PF,6-9,234,December 30 1977,us,13,University of Cincinnati
23,Toure' Murry\murryto01,PG,6-5,195,November 8 1989,us,R,Wichita State University
9,Pablo Prigioni\prigipa01,PG,6-3,185,May 17 1977,ar,1,
21,Iman Shumpert\shumpim01,SG,6-5,215,June 26 1990,us,2,Georgia Institute of Technology
0,Chris Smith\smithch05,PG,6-2,200,October 13 1987,us,R,Manhattan College University of Louisville
8,J.R. Smith\smithjr01,SF,6-6,225,September 9 1985,us,9,
1,Amar'e Stoudemire\stoudam01,C,6-10,245,November 16 1982,us,11,
4,Jeremy Tyler\tylerje01,C,6-10,260,June 21 1991,us,2,
18,Beno Udrih\udrihbe01,SG,6-3,205,July 5 1982,si,9,
51,Metta World Peace\artesro01,SF,6-6,260,November 13 1979,us,14,St. John's University
