Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kentavious Caldwell-Pope\caldwke01,24,74,2458,13.2,.561,.520,.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,,2.6,2.7,5.3,.103,,0.6,0.4,1.0,1.9
2,Kyle Kuzma\kuzmaky01,22,77,2401,14.2,.549,.418,.200,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,,1.5,2.3,3.8,.077,,-0.3,-1.0,-1.3,0.4
3,Julius Randle\randlju01,23,82,2190,19.9,.606,.050,.470,8.9,22.8,15.9,15.8,0.9,1.7,16.3,25.3,,4.0,2.6,6.6,.145,,0.4,0.6,0.9,1.6
4,Brandon Ingram\ingrabr01,20,59,1975,13.8,.536,.138,.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,,1.0,1.8,2.8,.068,,-1.6,0.3,-1.3,0.4
5,Lonzo Ball\balllo01,20,52,1780,12.5,.444,.523,.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,,-0.5,2.5,2.0,.053,,-0.8,2.5,1.7,1.7
6,Brook Lopez\lopezbr01,29,74,1735,16.5,.557,.410,.199,4.6,13.4,9.0,11.6,0.8,4.6,10.2,23.5,,1.9,1.9,3.8,.105,,0.3,0.2,0.5,1.1
7,Josh Hart\hartjo01,22,63,1461,12.2,.596,.525,.251,3.1,16.0,9.6,7.6,1.5,0.9,10.1,13.5,,1.9,1.5,3.4,.111,,-0.3,0.2,-0.1,0.7
8,Jordan Clarkson\clarkjo01,25,53,1256,16.9,.532,.315,.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,,1.1,1.0,2.1,.080,,1.0,-2.3,-1.3,0.2
9,Larry Nance\nancela02,25,42,922,19.4,.618,.016,.344,12.6,20.2,16.4,9.2,3.1,1.8,12.3,15.3,,2.1,1.5,3.7,.191,,1.0,2.7,3.8,1.3
10,Corey Brewer\breweco01,31,54,694,8.9,.509,.250,.297,3.6,10.7,7.1,8.1,2.8,0.9,16.3,14.2,,-0.2,0.9,0.7,.048,,-3.6,0.9,-2.7,-0.1
11,Tyler Ennis\ennisty01,23,54,683,11.1,.473,.250,.129,3.0,11.8,7.4,21.9,2.1,1.2,13.8,17.1,,0.1,0.7,0.8,.058,,-2.8,-0.1,-2.9,-0.1
12,Alex Caruso\carusal01,23,37,562,8.7,.519,.371,.259,2.9,9.4,6.2,17.8,2.0,1.4,24.5,12.9,,-0.1,0.6,0.5,.041,,-3.4,0.5,-2.9,-0.1
13,Isaiah Thomas\thomais02,28,17,456,12.8,.520,.445,.278,2.4,6.0,4.2,28.8,0.6,0.2,17.5,28.7,,0.0,0.2,0.2,.024,,-0.4,-4.2,-4.6,-0.3
14,Ivica Zubac\zubaciv01,20,43,410,15.3,.557,.008,.418,11.8,20.1,16.0,8.8,0.9,3.0,15.3,17.6,,0.5,0.5,1.0,.118,,-2.7,0.5,-2.2,0.0
15,Travis Wear\weartr01,27,17,228,6.9,.497,.653,.111,0.0,17.6,8.9,4.2,0.8,1.8,7.4,15.2,,0.0,0.2,0.2,.042,,-3.7,-1.3,-5.1,-0.2
16,Andrew Bogut\bogutan01,33,24,216,10.9,.696,.000,.080,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,,0.1,0.3,0.4,.094,,-3.6,3.6,0.0,0.1
17,Channing Frye\fryech01,34,9,150,10.2,.581,.581,.093,1.4,16.2,8.9,9.5,0.3,0.5,8.2,13.8,,0.2,0.1,0.3,.091,,-1.3,-1.8,-3.0,0.0
18,Gary Payton\paytoga02,25,11,115,11.8,.447,.317,.146,8.4,16.5,12.5,15.1,1.7,1.4,8.4,17.6,,0.0,0.1,0.2,.063,,-2.0,0.1,-1.9,0.0
19,Thomas Bryant\bryanth01,20,15,72,9.9,.441,.476,.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,,0.0,0.1,0.1,.050,,-3.8,-0.4,-4.2,0.0
20,Andre Ingram\ingraan01,32,2,64,16.3,.655,.529,.176,1.7,8.3,5.0,15.3,2.2,3.8,14.1,14.1,,0.1,0.1,0.2,.157,,0.4,0.9,1.3,0.1
21,Vander Blue\blueva01,25,5,45,-1.8,.255,.400,.400,0.0,2.3,1.2,8.2,1.1,0.0,33.8,8.4,,-0.1,0.0,-0.1,-0.103,,-8.7,-1.3,-10.0,-0.1
22,Luol Deng\denglu01,32,1,13,5.5,.500,.000,.000,0.0,0.0,0.0,10.1,3.7,0.0,33.3,9.8,,0.0,0.0,0.0,-0.018,,-7.2,-1.3,-8.5,0.0
23,Nigel Hayes\hayesni01,23,2,11,9.8,.436,.667,.333,0.0,0.0,0.0,24.3,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,.069,,-3.5,-9.3,-12.8,0.0
24,Derrick Williams\willide02,26,2,9,-3.2,.250,.500,.000,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,,0.0,0.0,0.0,-0.191,,-11.5,-6.6,-18.1,0.0
