No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Kent Bazemore\bazemke01,SG,6-5,201,July 1 1989,us,1,Old Dominion University
5,Steve Blake\blakest01,PG,6-3,172,February 26 1980,us,10,University of Maryland
2,MarShon Brooks\brookma01,SG,6-5,200,January 26 1989,us,2,Providence College
24,Kobe Bryant\bryanko01,SG,6-6,212,August 23 1978,us,17,
1,Jordan Farmar\farmajo01,PG,6-2,180,November 30 1986,us,6,University of California Los Angeles
16,Pau Gasol\gasolpa01,C,7-0,250,July 6 1980,es,12,
2,Elias Harris\harriel01,SF,6-8,239,July 6 1989,de,R,Gonzaga University
3,Manny Harris\harrima01,SG,6-5,185,September 21 1989,us,2,University of Michigan
7,Xavier Henry\henryxa01,SF,6-6,220,March 15 1991,be,3,University of Kansas
27,Jordan Hill\hilljo01,PF,6-10,235,July 27 1987,us,4,University of Arizona
11,Wesley Johnson\johnswe01,SF,6-7,215,July 11 1987,us,3,Iowa State University Syracuse University
9,Chris Kaman\kamanch01,C,7-0,265,April 28 1982,us,10,Central Michigan University
4,Ryan Kelly\kellyry01,PF,6-11,230,April 9 1991,us,R,Duke University
12,Kendall Marshall\marshke01,PG,6-4,200,August 19 1991,us,1,University of North Carolina
20,Jodie Meeks\meeksjo01,SG,6-4,210,August 21 1987,us,4,University of Kentucky
10,Steve Nash\nashst01,PG,6-3,195,February 7 1974,za,17,Santa Clara University
50,Robert Sacre\sacrero01,C,7-0,270,June 6 1989,us,1,Gonzaga University
3,Shawne Williams\willish03,PF,6-9,225,February 16 1986,us,5,University of Memphis
0,Nick Young\youngni01,SG,6-7,210,June 1 1985,us,6,University of Southern California
