No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Keith Appling\applike01,PG,6-1,185,February 13 1992,us,R,Michigan State University
3,Dewayne Dedmon\dedmode01,C,7-0,245,August 12 1989,us,2,University of Southern California
10,Evan Fournier\fournev01,SF,6-7,205,October 29 1992,fr,3,
8,Channing Frye\fryech01,PF,7-0,255,May 17 1983,us,9,University of Arizona
00,Aaron Gordon\gordoaa01,PF,6-9,220,September 16 1995,us,1,University of Arizona
12,Tobias Harris\harrito02,PF,6-9,235,July 15 1992,us,4,University of Tennessee
23,Mario Hezonja\hezonma01,SF,6-8,225,February 25 1995,hr,R,
7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,7,
55,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,6,
11,Devyn Marble\marblde01,SG,6-6,200,September 21 1992,us,1,University of Iowa
13,Shabazz Napier\napiesh01,PG,6-1,180,July 14 1991,us,1,University of Connecticut
44,Andrew Nicholson\nichoan01,PF,6-9,250,December 8 1989,ca,3,St. Bonaventure University
5,Victor Oladipo\oladivi01,SG,6-4,210,May 4 1992,us,2,Indiana University
4,Elfrid Payton\paytoel01,PG,6-4,185,February 22 1994,us,1,University of Louisiana at Lafayette
14,Jason Smith\smithja02,C,7-0,240,March 2 1986,us,7,Colorado State University
9,Nikola Vucevic\vucevni01,C,7-0,260,October 24 1990,ch,4,University of Southern California
32,C.J. Watson\watsocj01,PG,6-2,175,April 17 1984,us,8,University of Tennessee
