Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Monta Ellis\ellismo01,28,82,3023,16.8,.532,.164,.336,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,,2.8,2.1,4.9,.078,,0.6,-0.6,0.0,1.5
2,Dirk Nowitzki\nowitdi01,35,80,2628,23.6,.603,.258,.295,1.8,20.0,10.9,14.2,1.4,1.4,7.5,26.9,,8.6,2.3,10.9,.199,,4.1,-0.8,3.3,3.5
3,Jose Calderon\caldejo01,32,81,2468,15.2,.596,.568,.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,,5.4,0.8,6.3,.122,,3.3,-2.0,1.3,2.1
4,Shawn Marion\mariosh01,35,76,2409,13.7,.537,.229,.092,6.4,17.4,11.9,7.6,1.9,1.3,11.4,15.7,,2.2,2.1,4.3,.086,,0.0,1.1,1.1,1.9
5,Vince Carter\cartevi01,37,81,1973,15.9,.539,.457,.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,,3.0,1.3,4.3,.105,,2.2,-1.0,1.1,1.6
6,Samuel Dalembert\dalemsa01,32,80,1614,16.8,.605,.003,.363,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,,2.9,2.1,4.9,.147,,-0.9,1.5,0.6,1.1
7,Jae Crowder\crowdja01,23,78,1254,11.9,.551,.510,.206,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,,1.2,1.1,2.3,.089,,0.0,0.6,0.6,0.8
8,DeJuan Blair\blairde01,24,78,1214,17.3,.557,.005,.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,,1.8,1.5,3.4,.133,,-0.2,0.8,0.6,0.8
9,Brandan Wright\wrighbr03,26,58,1077,23.5,.695,.000,.320,11.0,15.1,13.1,4.7,1.5,4.2,8.5,17.4,,4.1,1.0,5.1,.227,,3.1,0.6,3.6,1.5
10,Devin Harris\harride01,30,40,818,14.6,.517,.398,.453,1.1,10.8,6.0,31.0,1.8,0.2,16.2,20.2,,1.2,0.4,1.6,.094,,0.5,-2.1,-1.6,0.1
11,Shane Larkin\larkish01,21,48,489,8.3,.446,.277,.182,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,,-0.4,0.3,-0.1,-0.010,,-3.5,-1.2,-4.7,-0.3
12,Wayne Ellington\ellinwa01,26,45,393,12.2,.554,.468,.087,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,,0.4,0.2,0.7,.084,,0.0,-1.7,-1.7,0.0
13,Gal Mekel\mekelga01,25,31,292,5.4,.400,.233,.140,2.0,8.6,5.3,30.1,0.7,0.3,25.4,19.0,,-0.5,0.1,-0.4,-0.073,,-5.7,-3.4,-9.2,-0.5
14,Bernard James\jamesbe01,28,30,146,8.5,.503,.043,.478,12.0,21.2,16.6,2.8,1.1,4.5,26.4,11.8,,0.0,0.2,0.1,.040,,-4.8,1.1,-3.7,-0.1
15,Ricky Ledo\ledori01,21,11,33,12.7,.506,.471,.235,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,,0.0,0.0,0.0,.024,,-1.6,-5.6,-7.2,0.0
