No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,DeJuan Blair\blairde01,PF,6-7,270,April 22 1989,us,4,University of Pittsburgh
8,Jose Calderon\caldejo01,PG,6-3,200,September 28 1981,es,8,
25,Vince Carter\cartevi01,SG,6-6,220,January 26 1977,us,15,University of North Carolina
9,Jae Crowder\crowdja01,SF,6-6,235,July 6 1990,us,1,Marquette University
1,Samuel Dalembert\dalemsa01,C,6-11,255,May 10 1981,ht,11,Seton Hall University
21,Wayne Ellington\ellinwa01,SG,6-5,200,November 29 1987,us,4,University of North Carolina
11,Monta Ellis\ellismo01,SG,6-3,185,October 26 1985,us,8,
20,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,9,University of Wisconsin
5,Bernard James\jamesbe01,C,6-10,240,February 7 1985,us,1,Florida State University
3,Shane Larkin\larkish01,PG,5-11,175,October 2 1992,us,R,University of Miami
7,Ricky Ledo\ledori01,SG,6-7,195,September 10 1992,us,R,
0,Shawn Marion\mariosh01,SF,6-7,220,May 7 1978,us,14,University of Nevada Las Vegas
33,Gal Mekel\mekelga01,PG,6-3,191,March 4 1988,il,R,Wichita State University
41,Dirk Nowitzki\nowitdi01,PF,7-0,245,June 19 1978,de,15,
34,Brandan Wright\wrighbr03,C,6-10,210,October 5 1987,us,5,University of North Carolina
