No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Quincy Acy\acyqu01,PF,6-7,240,October 6 1990,us,5,Baylor University
31,Jarrett Allen\allenja01,C,6-11,237,April 21 1998,us,R,University of Texas at Austin
35,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,7,Clemson University
9,DeMarre Carroll\carrode01,PF,6-8,215,July 27 1986,us,8,Vanderbilt University University of Missouri
33,Allen Crabbe\crabbal01,SG,6-6,212,April 9 1992,us,4,University of California
44,Dante Cunningham\cunnida01,SF,6-8,230,April 22 1987,us,8,Villanova University
8,Spencer Dinwiddie\dinwisp01,PG,6-6,210,April 6 1993,us,3,University of Colorado
14,Milton Doyle\doylemi01,SG,6-4,185,October 31 1993,us,R,Loyola University of Chicago
12,Joe Harris\harrijo01,SG,6-6,218,September 6 1991,us,3,University of Virginia
24,Rondae Hollis-Jefferson\holliro01,SF,6-7,217,January 3 1995,us,2,University of Arizona
6,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,3,University of Cincinnati
22,Caris LeVert\leverca01,SF,6-7,204,August 25 1994,us,1,University of Michigan
7,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,7,Harvard University
20,Timofey Mozgov\mozgoti01,C,7-1,275,July 16 1986,ru,7,
4,Jahlil Okafor\okafoja01,C,6-11,275,December 15 1995,us,2,Duke University
1,D'Angelo Russell\russeda01,PG,6-5,198,February 23 1996,us,2,Ohio State University
2,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,3,University of Michigan
17,Rashad Vaughn\vaughra01,SG,6-6,202,August 16 1996,us,2,University of Nevada Las Vegas
0,James Webb\webbja01,SF,6-9,202,August 19 1993,us,R,Boise State University
15,Isaiah Whitehead\whiteis01,PG,6-4,213,March 8 1995,us,1,Seton Hall University
21,Jacob Wiley\wileyja01,PF,6-7,215,September 4 1994,us,R,Eastern Washington University
44,Tyler Zeller\zellety01,C,7-0,253,January 17 1990,us,5,University of North Carolina
