No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
00,Darrell Arthur\arthuda01,PF,6-9,235,March 25 1988,us,8,University of Kansas
5,Will Barton\bartowi01,SG,6-6,190,January 6 1991,us,5,University of Memphis
25,Malik Beasley\beaslma01,SG,6-5,195,November 26 1996,us,1,Florida State University
21,Wilson Chandler\chandwi01,SF,6-9,225,May 10 1987,us,9,DePaul University
3,Torrey Craig\craigto01,SF,6-7,215,December 19 1990,us,R,University of South Carolina Upstate
35,Kenneth Faried\farieke01,PF,6-8,220,November 19 1989,us,6,Morehead State University
34,Devin Harris\harride01,PG,6-3,185,February 27 1983,us,13,University of Wisconsin
14,Gary Harris\harriga01,SG,6-4,210,September 14 1994,us,3,Michigan State University
41,Juan Hernangomez\hernaju01,PF,6-9,230,September 28 1995,es,1,
22,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,16,University of Arizona
15,Nikola Jokic\jokicni01,C,7-0,250,February 19 1995,rs,2,
20,Tyler Lydon\lydonty01,PF,6-10,225,April 9 1996,us,R,Syracuse University
7,Trey Lyles\lylestr01,PF,6-10,234,November 5 1995,ca,2,University of Kentucky
4,Paul Millsap\millspa01,PF,6-8,246,February 10 1985,us,11,Louisiana Tech University
11,Monte Morris\morrimo01,PG,6-3,175,June 27 1995,us,R,Iowa State University
0,Emmanuel Mudiay\mudiaem01,PG,6-5,200,March 5 1996,cd,2,
27,Jamal Murray\murraja01,PG,6-4,207,February 23 1997,ca,1,University of Kentucky
24,Mason Plumlee\plumlma01,C,6-11,235,March 5 1990,us,4,Duke University
