No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
5,Lavoy Allen\allenla01,PF,6-9,260,February 4 1989,us,2,Temple University
8,Rasual Butler\butlera01,SG,6-7,215,May 23 1979,us,10,La Salle University
17,Andrew Bynum\bynuman01,C,7-0,285,October 27 1987,us,7,
22,Chris Copeland\copelch01,SF,6-9,239,March 17 1984,us,1,University of Colorado
24,Paul George\georgpa01,SF,6-9,220,May 2 1990,us,3,California State University Fresno
33,Danny Granger\grangda01,SF,6-9,222,April 20 1983,us,8,Bradley University University of New Mexico
55,Roy Hibbert\hibbero01,C,7-2,270,December 11 1986,us,5,Georgetown University
3,George Hill\hillge01,PG,6-3,188,May 4 1986,us,5,Indiana University-Purdue University Indianapolis
9,Solomon Hill\hillso01,SF,6-7,225,March 18 1991,us,R,University of Arizona
11,Orlando Johnson\johnsor01,SG,6-5,220,March 11 1989,us,1,Loyola Marymount University University of California Santa Barbara
28,Ian Mahinmi\mahinia01,C,6-11,262,November 5 1986,fr,5,
4,Luis Scola\scolalu01,PF,6-9,240,April 30 1980,ar,6,
15,Donald Sloan\sloando01,SG,6-3,205,January 15 1988,us,2,Texas A&M University
1,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,3,University of Cincinnati
12,Evan Turner\turneev01,SF,6-7,220,October 27 1988,us,3,Ohio State University
32,C.J. Watson\watsocj01,PG,6-2,175,April 17 1984,us,6,University of Tennessee
21,David West\westda01,PF,6-9,250,August 29 1980,us,10,Xavier University
