Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tyreke Evans\evansty01,25,79,2690,17.7,.508,.195,.250,3.5,14.1,8.8,32.7,2.0,1.0,16.0,26.1,,2.4,2.2,4.6,.082,,1.7,0.1,1.9,2.6
2,Anthony Davis\davisan02,21,68,2455,30.8,.591,.010,.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,,9.9,4.2,14.0,.274,,4.2,3.0,7.1,5.7
3,Eric Gordon\gordoer01,26,61,2018,12.7,.544,.454,.192,1.6,7.4,4.5,17.6,1.3,0.5,14.0,19.8,,2.2,0.7,2.9,.069,,1.4,-2.0,-0.6,0.7
4,Omer Asik\asikom01,28,76,1982,15.5,.545,.000,.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,,2.8,2.2,5.0,.120,,-1.3,0.6,-0.7,0.6
5,Ryan Anderson\anderry01,26,61,1675,15.6,.524,.492,.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,,2.6,0.9,3.5,.100,,2.0,-3.1,-1.1,0.4
6,Dante Cunningham\cunnida01,27,66,1652,8.9,.473,.029,.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,,0.5,1.2,1.6,.047,,-2.6,1.0,-1.6,0.2
7,Jrue Holiday\holidjr01,24,40,1303,18.8,.522,.253,.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,,2.3,1.1,3.4,.124,,3.0,-0.7,2.3,1.4
8,Quincy Pondexter\pondequ01,26,45,1253,11.1,.592,.548,.212,3.0,9.5,6.3,7.8,0.6,1.2,10.7,13.9,,1.9,0.4,2.3,.089,,1.3,-1.2,0.0,0.6
9,Alexis Ajinca\ajincal01,26,68,957,19.9,.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,.159,,-0.5,0.6,0.2,0.5
10,Luke Babbitt\babbilu01,25,63,830,11.1,.639,.599,.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,,1.1,0.5,1.6,.092,,0.0,-1.4,-1.4,0.1
11,Austin Rivers\riverau01,22,35,772,10.1,.472,.225,.320,1.8,8.2,5.0,16.7,1.2,0.7,10.6,16.7,,0.4,0.3,0.7,.046,,-1.7,-1.7,-3.4,-0.3
12,Norris Cole\coleno01,26,28,683,12.6,.520,.294,.139,0.2,8.3,4.2,21.2,1.2,0.8,13.3,20.6,,0.5,0.3,0.7,.052,,-0.5,-2.6,-3.1,-0.2
13,Jimmer Fredette\fredeji01,25,50,509,9.8,.479,.289,.271,1.8,7.1,4.5,17.2,1.5,0.3,15.1,19.6,,0.0,0.2,0.2,.021,,-2.6,-2.9,-5.5,-0.4
14,John Salmons\salmojo01,35,21,270,5.1,.422,.542,.083,1.7,7.1,4.4,6.6,1.8,1.1,9.1,9.3,,0.0,0.1,0.1,.017,,-2.7,-0.2,-2.9,-0.1
15,Jeff Withey\witheje01,24,37,259,17.6,.570,.000,.781,10.1,17.9,14.0,6.4,0.8,5.3,12.2,17.3,,0.5,0.3,0.8,.149,,-1.6,0.6,-1.0,0.1
16,Toney Douglas\douglto01,28,12,177,11.2,.450,.353,.255,1.3,12.8,7.1,20.0,3.3,1.7,15.0,17.2,,0.0,0.2,0.2,.046,,-2.1,0.8,-1.3,0.0
17,Nate Wolters\woltena01,23,10,105,3.5,.316,.077,.077,6.5,13.0,9.7,14.8,1.5,1.4,27.1,16.0,,-0.3,0.1,-0.2,-0.109,,-7.4,0.3,-7.1,-0.1
18,Elliot Williams\williel01,25,8,77,5.6,.382,.458,.083,0.0,7.4,3.7,15.2,1.4,0.0,0.0,14.7,,0.0,0.0,0.0,.012,,-2.6,-3.2,-5.8,-0.1
19,Darius Miller\milleda01,24,5,43,-5.1,.143,.143,.000,0.0,2.6,1.3,6.1,1.2,0.0,12.5,8.5,,-0.1,0.0,-0.1,-0.122,,-8.4,-1.5,-9.9,-0.1
20,Gal Mekel\mekelga01,26,4,43,0.5,.150,.150,.000,0.0,2.6,1.3,42.2,2.4,0.0,9.1,23.3,,-0.2,0.0,-0.2,-0.238,,-10.3,-6.3,-16.6,-0.2
21,Russ Smith\smithru01,23,6,29,-16.6,.250,.600,.000,0.0,11.7,5.9,9.6,0.0,0.0,41.2,26.7,,-0.3,0.0,-0.3,-0.477,,-16.7,-4.0,-20.7,-0.1
