No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
42,Alexis Ajinca\ajincal01,C,7-2,248,May 6 1988,fr,5,
33,Ryan Anderson\anderry01,PF,6-10,240,May 6 1988,us,7,University of California
3,Omer Asik\asikom01,C,7-0,255,July 4 1986,tr,5,
8,Luke Babbitt\babbilu01,SF,6-9,225,June 20 1989,us,5,University of Nevada Reno
30,Norris Cole\coleno01,PG,6-2,175,October 13 1988,us,4,Cleveland State University
44,Dante Cunningham\cunnida01,SF,6-8,230,April 22 1987,us,6,Villanova University
23,Anthony Davis\davisan02,C,6-10,253,March 11 1993,us,3,University of Kentucky
31,Bryce Dejean-Jones\dejeabr01,SG,6-6,209,August 21 1992,us,R,University of Southern California University of Nevada Las Vegas Iowa State University
16,Toney Douglas\douglto01,PG,6-2,195,March 16 1986,us,6,Auburn University Florida State University
4,James Ennis\ennisja01,SF,6-7,210,July 1 1990,us,1,California State University Long Beach
1,Tyreke Evans\evansty01,SG,6-6,220,September 19 1989,us,6,University of Memphis
2,Tim Frazier\fraziti01,PG,6-1,170,November 1 1990,us,1,Pennsylvania State University
32,Jimmer Fredette\fredeji01,SG,6-2,195,February 25 1989,us,4,Brigham Young University
15,Alonzo Gee\geeal01,SF,6-6,225,May 29 1987,us,6,University of Alabama
10,Eric Gordon\gordoer01,SG,6-4,215,December 25 1988,us,7,Indiana University
25,Jordan Hamilton\hamiljo02,SF,6-7,220,October 6 1990,us,4,University of Texas at Austin
11,Jrue Holiday\holidjr01,PG,6-4,205,June 12 1990,us,6,University of California Los Angeles
0,Orlando Johnson\johnsor01,SG,6-5,220,March 11 1989,us,2,Loyola Marymount University University of California Santa Barbara
5,Kendrick Perkins\perkike01,C,6-10,270,November 10 1984,us,12,
2,Nate Robinson\robinna01,PG,5-9,180,May 31 1984,us,10,University of Washington
4,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,5,Wake Forest University
