No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Andre Drummond\drumman01,C,11-Jun,279,August 10 1993,us,6,University of Connecticut
23,Blake Griffin\griffbl01,PF,10-Jun,250,March 16 1989,us,8,University of Oklahoma
6,Bruce Brown\brownbr01,SG,5-Jun,202,August 15 1996,us,R,University of Miami
22,Glenn Robinson\robingl02,SF,6-Jun,222,January 8 1994,us,4,University of Michigan
14,Ish Smith\smithis01,PG,Jun-00,175,July 5 1988,us,8,Wake Forest University
30,Jon Leuer\leuerjo01,PF,10-Jun,228,May 14 1989,us,7,University of Wisconsin
81,Jose Calderon\caldejo01,PG,3-Jun,200,September 28 1981,es,13,
24,Kalin Lucas\lucaska01,PG,1-Jun,195,May 24 1989,us,1,Michigan State University
13,Khyri Thomas\thomakh01,SG,3-Jun,210,May 8 1996,us,R,Creighton University
9,Langston Galloway\gallola01,SG,2-Jun,200,December 9 1991,us,4,Saint Joseph's University
5,Luke Kennard\kennalu01,SG,5-Jun,206,June 24 1996,us,1,Duke University
1,Reggie Jackson\jacksre01,PG,3-Jun,208,April 16 1990,it,7,Boston College
19,Sviatoslav Mykhailiuk\mykhasv01,SF,8-Jun,205,June 10 1997,ua,R,University of Kansas
7,Thon Maker\makerth01,PF,1-Jul,221,February 25 1997,ss,2,
20,Wayne Ellington\ellinwa01,SG,5-Jun,200,November 29 1987,us,9,University of North Carolina
27,Zaza Pachulia\pachuza01,C,11-Jun,270,February 10 1984,ge,15,
