Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,DeMar DeRozan\derozde01,28,80,2711,21.0,.555,.203,.396,2.5,10.4,6.5,25.0,1.5,0.6,9.5,29.6,,6.8,2.8,9.6,.170,,2.7,-0.9,1.8,2.6
2,Kyle Lowry\lowryky01,31,78,2510,19.5,.598,.631,.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,,7.0,3.1,10.2,.194,,5.4,0.5,5.9,5.0
3,Serge Ibaka\ibakase01,28,76,2093,14.7,.574,.379,.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,,2.1,3.0,5.1,.117,,-0.8,0.6,-0.2,1.0
4,Jonas Valanciunas\valanjo01,25,77,1727,22.5,.628,.108,.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,,4.6,3.0,7.6,.210,,0.7,0.8,1.5,1.5
5,Pascal Siakam\siakapa01,23,81,1679,14.5,.549,.265,.175,5.4,18.6,12.1,13.5,1.8,2.0,11.1,15.7,,2.1,2.5,4.7,.133,,0.0,2.2,2.1,1.7
6,Jakob Poeltl\poeltja01,22,82,1524,17.5,.662,.005,.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,,3.1,2.4,5.6,.175,,0.4,2.9,3.3,2.0
7,Fred VanVleet\vanvlfr01,23,76,1520,15.9,.556,.479,.185,1.9,11.5,6.8,22.8,2.2,1.0,11.2,19.1,,2.7,2.0,4.7,.149,,1.9,0.1,1.9,1.5
8,OG Anunoby\anunoog01,20,74,1481,10.0,.587,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,,1.4,1.6,3.0,.098,,0.2,0.4,0.6,1.0
9,Delon Wright\wrighde01,25,69,1433,16.5,.574,.354,.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,,2.5,2.1,4.5,.152,,1.2,1.6,2.8,1.7
10,C.J. Miles\milescj01,30,70,1337,13.0,.545,.758,.162,1.5,11.0,6.4,6.0,1.4,1.3,5.7,22.3,,1.4,1.5,2.9,.103,,1.7,-2.2,-0.5,0.5
11,Norman Powell\powelno01,24,70,1062,8.5,.492,.497,.104,1.5,10.9,6.3,11.8,1.7,1.2,14.4,18.9,,-0.6,1.2,0.6,.027,,-2.5,-0.4,-2.8,-0.2
12,Lucas Nogueira\noguelu01,25,49,418,17.3,.661,.238,.350,4.9,18.1,11.7,7.2,2.7,8.2,14.8,11.4,,0.7,1.0,1.6,.188,,-0.7,6.2,5.4,0.8
13,Lorenzo Brown\brownlo01,27,14,139,8.2,.459,.353,.059,0.8,11.1,6.0,12.4,1.8,0.0,7.9,11.9,,0.0,0.1,0.2,.060,,-2.8,-0.2,-3.0,0.0
14,Malcolm Miller\millema01,24,15,126,8.9,.638,.750,.143,3.6,9.6,6.7,3.2,0.4,1.3,14.4,12.1,,0.1,0.1,0.2,.087,,-0.5,-1.5,-2.0,0.0
15,Alfonzo McKinnie\mckinal01,25,14,53,10.1,.643,.600,.200,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,,0.0,0.1,0.1,.084,,-1.3,-1.8,-3.1,0.0
16,Bruno Caboclo\cabocbr01,22,2,7,-0.1,.000,1.000,.000,0.0,15.7,8.0,16.7,7.0,0.0,0.0,12.5,,0.0,0.0,0.0,-0.113,,-6.8,4.4,-2.4,0.0
17,Nigel Hayes\hayesni01,23,2,6,34.9,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.9,,0.0,0.0,0.0,.018,,14.4,-6.4,8.0,0.0
18,Malachi Richardson\richama01,22,1,5,10.5,.500,.500,.000,0.0,22.0,11.2,0.0,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,.045,,-5.1,-6.4,-11.5,0.
