No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,OG Anunoby\anunoog01,SF,6-8,232,July 17 1997,gb,R,Indiana University
4,Lorenzo Brown\brownlo01,PG,6-5,189,August 26 1990,us,3,North Carolina State University
5,Bruno Caboclo\cabocbr01,SF,6-9,218,September 21 1995,br,3,
10,DeMar DeRozan\derozde01,SG,6-7,220,August 7 1989,us,8,University of Southern California
2,Nigel Hayes\hayesni01,SF,6-8,254,December 16 1994,us,R,University of Wisconsin
9,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,8,
7,Kyle Lowry\lowryky01,PG,6-1,196,March 25 1986,us,11,Villanova University
34,Alfonzo McKinnie\mckinal01,SF,6-8,215,September 17 1992,us,R,University of Wisconsin-Green Bay
0,C.J. Miles\milescj01,SF,6-6,220,March 18 1987,us,12,
13,Malcolm Miller\millema01,SF,6-7,210,March 6 1993,us,R,College of the Holy Cross
92,Lucas Nogueira\noguelu01,C,7-0,241,July 26 1992,br,3,
42,Jakob Poeltl\poeltja01,C,7-0,230,October 15 1995,at,1,University of Utah
24,Norman Powell\powelno01,SG,6-4,215,May 25 1993,us,2,University of California Los Angeles
22,Malachi Richardson\richama01,SG,6-6,205,January 5 1996,us,1,Syracuse University
43,Pascal Siakam\siakapa01,PF,6-9,230,April 2 1994,cm,1,New Mexico State University
17,Jonas Valanciunas\valanjo01,C,7-0,265,May 6 1992,lt,5,
23,Fred VanVleet\vanvlfr01,PG,6-0,195,February 25 1994,us,1,Wichita State University
55,Delon Wright\wrighde01,PG,6-5,183,April 26 1992,us,2,University of Utah
