Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,James Harden\hardeja01,28,72,2551,29.8,.619,.498,.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,,11.6,3.8,15.4,.289,,9.6,1.3,10.9,8.3
2,P.J. Tucker\tuckepj01,32,82,2281,8.3,.537,.703,.136,4.6,17.8,11.3,4.6,1.7,1.0,13.7,10.5,,1.0,3.0,3.9,.082,,-1.5,1.5,0.0,1.2
3,Trevor Ariza\arizatr01,32,67,2269,11.8,.567,.710,.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,,2.6,2.8,5.3,.113,,0.8,0.7,1.5,2.0
4,Eric Gordon\gordoer01,29,69,2154,15.2,.578,.627,.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,,2.9,1.8,4.7,.105,,1.4,-2.4,-1.0,0.5
5,Clint Capela\capelca01,23,74,2034,24.5,.650,.001,.380,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,,6.2,4.1,10.2,.242,,0.1,2.9,3.0,2.6
6,Chris Paul\paulch01,32,58,1847,24.4,.604,.475,.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,,7.5,2.7,10.2,.265,,6.2,0.9,7.1,4.3
7,Ryan Anderson\anderry01,29,66,1725,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,,3.1,1.7,4.8,.132,,1.0,-0.8,0.2,1.0
8,Luc Mbah a Moute\mbahalu01,31,61,1564,10.3,.595,.501,.275,1.6,11.7,6.7,5.0,2.3,1.4,15.0,12.8,,0.8,2.1,2.8,.087,,-1.5,1.5,0.0,0.8
9,Gerald Green\greenge01,32,41,929,14.1,.566,.722,.145,1.8,14.2,8.1,4.3,1.3,1.4,6.6,22.4,,1.0,1.0,2.1,.107,,0.5,-2.4,-1.9,0.0
10,Nene Hilario\hilarne01,35,52,758,16.4,.594,.008,.448,8.1,18.0,13.1,9.5,1.8,1.6,11.7,18.9,,1.5,1.1,2.6,.163,,-1.5,0.7,-0.8,0.2
11,Tarik Black\blackta01,26,51,536,14.3,.582,.087,.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,,0.5,1.0,1.5,.136,,-3.0,2.1,-1.0,0.1
12,Joe Johnson\johnsjo02,36,23,505,6.8,.485,.455,.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,,0.0,0.4,0.4,.038,,-3.6,-0.9,-4.4,-0.3
13,Zhou Qi\qizh01,22,18,124,1.9,.295,.594,.375,5.5,14.4,10.0,2.1,0.8,9.6,21.2,16.8,,-0.5,0.2,-0.3,-0.104,,-10.3,3.1,-7.2,-0.2
14,Briante Weber\weberbr01,25,13,118,11.1,.547,.409,.182,2.9,14.2,8.6,15.2,4.2,2.2,22.8,11.5,,0.1,0.2,0.3,.119,,-2.5,3.7,1.3,0.1
15,Bobby Brown\brownbo02,33,20,115,5.5,.425,.690,.034,0.0,6.8,3.4,15.0,1.7,0.0,13.3,26.1,,-0.3,0.1,-0.2,-0.080,,-5.0,-4.2,-9.3,-0.2
16,Demetrius Jackson\jacksde01,23,12,63,0.2,.286,.429,.000,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,,-0.3,0.1,-0.2,-0.140,,-9.5,2.3,-7.2,-0.1
17,R.J. Hunter\hunterj01,24,5,45,8.5,.455,.700,.100,0.0,12.4,6.3,10.3,3.3,0.0,8.7,22.5,,0.0,0.1,0.0,.022,,-3.0,-1.6,-4.5,0.0
18,Aaron Jackson\jacksaa01,31,1,35,2.4,.405,.444,.222,6.5,3.2,4.8,4.0,0.0,0.0,9.2,13.7,,0.0,0.0,0.0,-0.017,,-4.6,-3.0,-7.7,-0.1
19,Markel Brown\brownma02,26,4,31,-1.2,.357,.714,.000,3.7,14.4,9.1,8.7,0.0,0.0,22.2,12.8,,-0.1,0.0,0.0,-0.063,,-6.7,-1.7,-8.4,-0.1
20,Chinanu Onuaku\onuakch01,21,1,22,-3.2,.400,.000,.000,5.2,15.2,10.2,6.4,0.0,0.0,37.5,16.1,,-0.1,0.0,-0.1,-0.147,,-11.1,-1.2,-12.3,-0.1
21,Troy Williams\willitr02,23,4,17,-2.4,.242,.556,.333,6.7,19.7,13.3,8.6,2.9,0.0,8.8,29.4,,-0.1,0.0,-0.1,-0.260,,-11.6,-2.6,-14.2,-0.1
22,Brandan Wright\wrighbr03,30,1,15,11.3,.667,.000,.000,7.6,7.5,7.5,0.0,0.0,5.7,0.0,8.8,,0.0,0.0,0.0,.157,,-2.5,-0.6,-3.2,0.0
23,Tim Quarterman\quartti01,23,3,13,2.9,.515,.667,.667,0.0,25.8,13.0,10.6,0.0,0.0,34.0,20.0,,0.0,0.0,0.0,-0.083,,-8.9,-1.9,-10.8,0.0
24,Isaiah Canaan\canaais01,26,1,4,-7.3,.000,.000,.000,0.0,27.9,14.1,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,-0.224,,-17.3,-3.9,-21.2,0.0
