No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
3,Ryan Anderson\anderry01,PF,6-10,240,May 6 1988,us,8,University of California
1,Trevor Ariza\arizatr01,SF,6-8,215,June 30 1985,us,12,University of California Los Angeles
2,Patrick Beverley\beverpa01,SG,6-1,185,July 12 1988,us,4,University of Arkansas
33,Corey Brewer\breweco01,SF,6-9,186,March 5 1986,us,9,University of Florida
8,Bobby Brown\brownbo02,PG,6-2,175,September 24 1984,us,2,California State University Fullerton
15,Clint Capela\capelca01,C,6-10,240,May 18 1994,ch,2,
7,Sam Dekker\dekkesa01,PF,6-9,230,May 6 1994,us,1,University of Wisconsin
6,Tyler Ennis\ennisty01,PG,6-3,194,August 24 1994,ca,2,Syracuse University
10,Eric Gordon\gordoer01,SG,6-4,215,December 25 1988,us,8,Indiana University
13,James Harden\hardeja01,PG,6-5,220,August 26 1989,us,7,Arizona State University
5,Montrezl Harrell\harremo01,C,6-8,240,January 26 1994,us,1,University of Louisville
42,Nene Hilario\hilarne01,C,6-11,250,September 13 1982,br,14,
32,K.J. McDaniels\mcdankj01,SF,6-6,205,February 9 1993,us,2,Clemson University
21,Chinanu Onuaku\onuakch01,C,6-10,245,November 1 1996,us,R,University of Louisville
17,Isaiah Taylor\taylois01,PG,6-3,170,July 11 1994,us,R,University of Texas at Austin
12,Lou Williams\willilo02,SG,6-1,175,October 27 1986,us,11,
14,Troy Williams\willitr02,SF,6-7,218,December 30 1994,us,R,Indiana University
30,Kyle Wiltjer\wiltjky01,PF,6-10,240,October 20 1992,us,R,Gonzaga University
