No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,LaMarcus Aldridge\aldrila01,C,6-11,260,July 19 1985,us,11,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6-9,230,September 20 1993,us,3,University of California Los Angeles
42,Davis Bertans\bertada01,PF,6-10,225,November 12 1992,lv,1,
10,Matt Costello\costema01,C,6-9,245,August 5 1993,us,R,Michigan State University
11,Bryn Forbes\forbebr01,SG,6-3,190,July 23 1993,us,1,Michigan State University
16,Pau Gasol\gasolpa01,C,7-0,250,July 6 1980,es,16,
22,Rudy Gay\gayru01,PF,6-8,230,August 17 1986,us,11,University of Connecticut
20,Manu Ginobili\ginobma01,SG,6-6,205,July 28 1977,ar,15,
14,Danny Green\greenda02,SG,6-6,215,June 22 1987,us,8,University of North Carolina
24,Darrun Hilliard\hillida01,SG,6-6,205,April 13 1993,us,2,Villanova University
77,Joffrey Lauvergne\lauvejo01,C,6-11,220,September 30 1991,fr,3,
2,Kawhi Leonard\leonaka01,SF,6-7,230,June 29 1991,us,6,San Diego State University
8,Patty Mills\millspa02,PG,6-0,180,August 11 1988,au,8,Saint Mary's College of California
5,Dejounte Murray\murrade01,PG,6-5,170,September 19 1996,us,1,University of Washington
9,Tony Parker\parketo01,PG,6-2,185,May 17 1982,be,16,
3,Brandon Paul\paulbr01,SG,6-4,200,April 30 1991,us,R,University of Illinois at Urbana-Champaign
4,Derrick White\whitede01,PG,6-4,190,July 2 1994,us,R,University of Colorado
