Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,T.J. Warren\warretj01,24,65,2142,17.6,.541,.085,.240,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,,2.6,0.8,3.4,.077,,-0.1,-1.7,-1.9,0.1
2,Dragan Bender\bendedr01,20,82,2069,7.1,.524,.665,.105,2.0,16.8,9.3,8.9,0.5,2.1,18.1,12.7,,-0.7,0.8,0.1,.001,,-2.7,0.0,-2.7,-0.4
3,Josh Jackson\jacksjo02,20,77,1959,11.8,.480,.233,.299,5.1,14.2,9.6,10.1,2.0,1.4,12.2,26.0,,-2.0,1.2,-0.7,-0.018,,-3.1,-1.2,-4.3,-1.1
4,Devin Booker\bookede01,21,54,1865,18.1,.561,.364,.312,1.5,12.7,7.0,24.4,1.2,0.6,13.9,31.7,,1.9,0.6,2.4,.063,,2.9,-2.4,0.4,1.2
5,Tyler Ulis\ulisty01,22,71,1658,10.1,.465,.265,.183,1.5,6.8,4.1,28.0,2.0,0.3,17.6,18.5,,-0.7,0.5,-0.2,-0.006,,-2.8,-2.4,-5.2,-1.3
6,Troy Daniels\danietr01,26,79,1622,9.8,.583,.797,.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,,1.4,0.0,1.4,.042,,0.7,-3.6,-2.9,-0.4
7,Marquese Chriss\chrisma01,20,72,1527,11.1,.509,.398,.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,,-0.8,1.5,0.7,.023,,-3.3,1.3,-2.0,0.0
8,Alex Len\lenal01,24,69,1395,19.4,.612,.008,.611,13.2,26.7,19.8,9.1,0.9,3.5,14.0,17.0,,3.2,1.3,4.5,.154,,-0.3,1.1,0.8,1.0
9,Tyson Chandler\chandty01,35,46,1151,14.2,.658,.000,.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,,1.9,0.8,2.7,.111,,-1.3,1.0,-0.3,0.5
10,Jared Dudley\dudleja01,32,48,686,8.8,.553,.656,.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,,0.5,0.4,0.8,.058,,-1.9,0.0,-1.9,0.0
11,Mike James\jamesmi02,27,32,669,14.2,.476,.311,.269,1.9,12.5,7.1,29.0,1.9,0.8,12.1,25.2,,0.0,0.3,0.3,.021,,-0.7,-1.7,-2.4,-0.1
12,Elfrid Payton\paytoel01,23,19,551,13.1,.481,.120,.258,3.2,16.3,9.7,33.7,1.7,0.9,18.8,22.1,,-0.2,0.3,0.1,.009,,-2.0,-0.1,-2.1,0.0
13,Greg Monroe\monrogr01,27,20,465,21.0,.642,.000,.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,,1.0,0.4,1.4,.142,,1.1,1.1,2.3,0.5
14,Isaiah Canaan\canaais01,26,19,418,13.7,.543,.485,.375,1.5,9.9,5.6,26.9,1.8,0.2,15.5,19.0,,0.5,0.1,0.7,.075,,0.3,-2.5,-2.2,0.0
15,Danuel House\houseda01,24,23,403,12.4,.533,.450,.240,3.4,17.0,10.1,9.4,0.8,1.2,7.2,16.2,,0.4,0.1,0.6,.066,,-1.2,-1.5,-2.7,-0.1
16,Shaquille Harrison\harrish01,24,23,384,15.6,.540,.210,.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18.0,,0.4,0.4,0.8,.094,,-0.7,0.9,0.2,0.2
17,Davon Reed\reedda01,22,21,242,4.8,.388,.500,.158,0.9,16.6,8.6,7.6,2.0,0.7,11.0,16.0,,-0.5,0.2,-0.3,-0.060,,-5.8,-1.0,-6.7,-0.3
18,Alec Peters\peteral01,22,20,225,10.7,.523,.784,.135,3.7,14.0,8.8,7.9,0.4,0.7,4.9,15.5,,0.2,0.0,0.3,.055,,-0.2,-3.1,-3.3,-0.1
19,Josh Gray\grayjo01,24,5,86,7.2,.349,.317,.268,2.4,10.1,6.2,20.8,4.5,1.9,13.2,26.1,,-0.3,0.1,-0.2,-0.118,,-5.9,0.4,-5.5,-0.1
20,Eric Bledsoe\bledser01,28,3,83,13.0,.509,.325,.350,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,,-0.1,0.0,0.0,-0.028,,-2.5,-2.4,-4.9,-0.1
21,Alan Williams\willial03,25,5,70,9.3,.455,.000,.500,4.5,29.5,16.8,16.3,3.4,1.2,24.2,17.5,,-0.1,0.1,0.0,-0.004,,-6.5,2.8,-3.7,0.0
22,Derrick Jones\jonesde02,20,6,33,18.4,.678,.500,1.500,6.4,6.6,6.5,12.3,1.5,9.8,13.1,9.8,,0.1,0.0,0.1,.177,,0.1,3.8,3.9,0.0
