No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
10,Leandro Barbosa\barbole01,PG,6-3,194,November 28 1982,br,10,
2,Eric Bledsoe\bledser01,PG,6-1,205,December 9 1989,us,3,University of Kentucky
25,Dionte Christmas\chrisdi01,SF,6-5,205,September 15 1986,us,R,Temple University
1,Goran Dragic\dragigo01,SG,6-3,190,May 6 1986,si,5,
8,Channing Frye\fryech01,PF,7-0,255,May 17 1983,us,7,University of Arizona
20,Archie Goodwin\goodwar01,SG,6-5,200,August 17 1994,us,R,University of Kentucky
14,Gerald Green\greenge01,SG,6-7,205,January 26 1986,us,6,
55,Viacheslav Kravtsov\kravtvi01,C,7-0,260,August 25 1987,ua,1,
21,Alex Len\lenal01,C,7-1,250,June 16 1993,ua,R,University of Maryland
15,Marcus Morris\morrima03,SF,6-9,235,September 2 1989,us,2,University of Kansas
11,Markieff Morris\morrima02,PF,6-10,245,September 2 1989,us,2,University of Kansas
22,Miles Plumlee\plumlmi01,C,6-11,249,September 1 1988,us,1,Duke University
43,Shavlik Randolph\randosh01,PF,6-10,240,November 24 1983,us,6,Duke University
3,Ish Smith\smithis01,PG,6-0,175,July 5 1988,us,3,Wake Forest University
17,P.J. Tucker\tuckepj01,SF,6-6,245,May 5 1985,us,2,University of Texas at Austin
