No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Steven Adams\adamsst01,C,7-0,265,July 20 1993,nz,R,University of Pittsburgh
2,Caron Butler\butleca01,SF,6-7,228,March 13 1980,us,11,University of Connecticut
4,Nick Collison\collini01,PF,6-10,255,October 26 1980,us,9,University of Kansas
35,Kevin Durant\duranke01,SF,6-9,240,September 29 1988,us,6,University of Texas at Austin
6,Derek Fisher\fishede01,SG,6-1,200,August 9 1974,us,17,University of Arkansas at Little Rock
8,Ryan Gomes\gomesry01,SF,6-7,250,September 1 1982,us,7,Providence College
9,Serge Ibaka\ibakase01,PF,6-10,235,September 18 1989,cg,4,
7,Royal Ivey\iveyro01,SG,6-3,200,December 20 1981,us,9,University of Texas at Austin
15,Reggie Jackson\jacksre01,PG,6-3,208,April 16 1990,it,2,Boston College
3,Perry Jones\jonespe01,PF,6-11,235,September 24 1991,us,1,Baylor University
11,Jeremy Lamb\lambje01,SG,6-5,185,May 30 1992,us,1,University of Connecticut
5,Kendrick Perkins\perkike01,C,6-10,270,November 10 1984,us,10,
21,Andre Roberson\roberan03,SG,6-7,210,December 4 1991,us,R,University of Colorado
25,Thabo Sefolosha\sefolth01,SG,6-7,220,May 2 1984,ch,7,
22,Mustafa Shakur\shakumu01,PG,6-3,190,August 18 1984,us,1,University of Arizona
34,Hasheem Thabeet\thabeha01,C,7-3,263,February 16 1987,tz,4,University of Connecticut
0,Russell Westbrook\westbru01,PG,6-3,200,November 12 1988,us,5,University of California Los Angeles
14,Reggie Williams\willire02,SF,6-6,205,September 14 1986,us,4,Virginia Military Institute
