Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Andrew Wiggins\wiggian01,20,81,2845,16.5,.543,.147,.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,,3.4,0.7,4.1,.069,,0.4,-2.5,-2.1,-0.1
2,Karl-Anthony Towns\townska01,20,82,2627,22.5,.590,.076,.239,10.3,27.5,19.0,11.3,1.1,4.3,12.6,24.9,,5.5,2.8,8.3,.151,,1.6,1.1,2.8,3.2
3,Ricky Rubio\rubiori01,25,76,2323,17.6,.529,.324,.536,2.0,14.1,8.2,41.4,3.5,0.4,21.0,17.7,,3.6,2.2,5.8,.119,,1.8,0.1,1.9,2.3
4,Zach LaVine\lavinza01,20,82,2294,14.3,.548,.330,.212,1.4,10.1,5.8,18.6,1.5,0.6,12.9,23.5,,1.9,0.7,2.6,.054,,1.0,-2.4,-1.4,0.4
5,Gorgui Dieng\dienggo01,26,82,2220,17.1,.601,.035,.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,,3.4,2.5,5.9,.127,,0.0,2.4,2.4,2.5
6,Shabazz Muhammad\muhamsh01,23,82,1682,15.2,.548,.223,.355,7.0,11.4,9.2,5.2,0.7,0.3,8.2,22.8,,2.6,0.2,2.7,.077,,0.0,-4.1,-4.2,-0.9
7,Tayshaun Prince\princta01,35,77,1462,6.3,.466,.100,.083,2.6,9.0,5.8,7.0,1.2,0.7,10.2,8.1,,0.1,0.3,0.4,.014,,-2.9,-0.2,-3.1,-0.4
8,Nemanja Bjelica\bjeline01,27,60,1075,11.2,.594,.532,.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,,1.4,0.6,1.9,.087,,0.5,-0.2,0.3,0.6
9,Kevin Martin\martike02,32,39,834,11.9,.523,.308,.425,1.4,9.8,5.6,8.8,1.0,0.1,9.4,23.5,,0.7,0.1,0.8,.045,,-1.2,-4.0,-5.2,-0.7
10,Tyus Jones\jonesty01,19,37,573,11.2,.450,.340,.250,1.4,8.0,4.8,27.7,2.7,0.4,16.0,16.1,,0.0,0.3,0.3,.027,,-1.7,-2.0,-3.7,-0.3
11,Kevin Garnett\garneke01,39,38,556,12.3,.491,.009,.183,3.2,27.9,15.7,16.4,2.5,1.5,11.4,11.3,,0.4,0.7,1.1,.092,,-2.5,2.5,0.0,0.3
12,Adreian Payne\paynead01,24,52,486,5.6,.422,.221,.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,,-0.9,0.4,-0.5,-0.047,,-5.9,-0.2,-6.1,-0.5
13,Andre Miller\millean02,39,26,280,13.7,.663,.069,.328,2.5,7.4,5.0,31.9,1.6,0.0,27.4,14.6,,0.5,0.1,0.5,.088,,-0.8,-3.7,-4.4,-0.2
14,Damjan Rudez\rudezda01,29,33,277,5.5,.572,.806,.129,2.1,6.2,4.2,5.8,0.5,0.3,16.6,12.7,,0.1,0.0,0.1,.009,,-1.2,-3.5,-4.7,-0.2
15,Greg Smith\smithgr02,25,18,192,7.9,.545,.000,.531,7.4,17.9,12.7,4.6,1.1,0.4,15.1,10.8,,0.1,0.1,0.2,.045,,-3.0,-1.2,-4.3,-0.1
16,Nikola Pekovic\pekovni01,30,12,156,6.5,.459,.000,.400,5.3,10.3,7.8,10.7,0.3,0.0,13.3,19.5,,-0.1,0.0,-0.1,-0.022,,-4.7,-3.5,-8.2,-0.2
