No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
45,Cole Aldrich\aldrico01,C,6-11,250,October 31 1988,us,6,University of Kansas
88,Nemanja Bjelica\bjeline01,PF,6-10,234,May 9 1988,rs,1,
18,Omri Casspi\casspom01,PF,6-9,225,June 22 1988,il,7,
5,Gorgui Dieng\dienggo01,PF,6-11,252,January 18 1990,sn,3,University of Louisville
3,Kris Dunn\dunnkr01,PG,6-4,205,March 18 1994,us,R,Providence College
27,Jordan Hill\hilljo01,C,6-10,235,July 27 1987,us,7,University of Arizona
1,Tyus Jones\jonesty01,PG,6-2,196,May 10 1996,us,1,Duke University
8,Zach LaVine\lavinza01,SG,6-5,200,March 10 1995,us,2,University of California Los Angeles
11,John Lucas III\lucasjo02,PG,5-11,166,November 21 1982,us,7,Baylor University Oklahoma State University
15,Shabazz Muhammad\muhamsh01,SF,6-6,223,November 13 1992,us,3,University of California Los Angeles
33,Adreian Payne\paynead01,PF,6-10,237,February 19 1991,us,2,Michigan State University
9,Ricky Rubio\rubiori01,PG,6-4,190,October 21 1990,es,5,
4,Brandon Rush\rushbr01,SG,6-6,220,July 7 1985,us,8,University of Kansas
7,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,6,University of Cincinnati
32,Karl-Anthony Towns\townska01,C,7-0,248,November 15 1995,us,1,University of Kentucky
22,Andrew Wiggins\wiggian01,SF,6-8,194,February 23 1995,ca,2,University of Kansas
