Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,CJ McCollum\mccolcj01,26,81,2923,17.0,.536,.316,.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,,3.7,2.9,6.6,.108,,1.4,-1.0,0.4,1.8
2,Damian Lillard\lillada01,27,73,2670,25.2,.594,.445,.380,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,,9.9,2.7,12.6,.227,,7.7,-1.0,6.7,5.9
3,Jusuf Nurkic\nurkiju01,23,79,2088,19.2,.528,.007,.287,10.0,26.9,18.5,11.7,1.5,4.3,14.6,26.4,,0.8,3.9,4.7,.108,,-2.6,2.8,0.3,1.2
4,Al-Farouq Aminu\aminual01,27,69,2072,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,,0.9,3.2,4.2,.097,,-0.8,1.9,1.1,1.6
5,Evan Turner\turneev01,29,79,2034,9.9,.520,.229,.185,1.6,11.4,6.5,12.4,1.1,1.2,13.7,15.6,,0.5,2.1,2.6,.061,,-2.4,0.6,-1.8,0.1
6,Shabazz Napier\napiesh01,26,74,1535,14.2,.544,.411,.260,1.9,10.1,6.0,14.6,2.6,0.7,13.2,19.5,,1.2,2.0,3.2,.101,,-0.2,0.3,0.2,0.8
7,Pat Connaughton\connapa01,25,82,1488,9.3,.539,.538,.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,,1.2,1.3,2.5,.080,,-0.9,-0.4,-1.3,0.3
8,Ed Davis\davised01,28,78,1471,15.5,.607,.003,.380,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,,2.5,2.5,5.0,.164,,-1.8,1.8,0.0,0.7
9,Maurice Harkless\harklma01,24,59,1264,12.6,.596,.397,.199,4.0,9.9,7.0,6.0,1.9,2.8,11.0,12.6,,1.6,1.7,3.2,.123,,-0.2,2.0,1.8,1.2
10,Zach Collins\colliza01,20,66,1045,7.5,.475,.391,.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,,-0.7,1.3,0.6,.030,,-4.1,0.9,-3.2,-0.3
11,Noah Vonleh\vonleno01,22,33,476,12.0,.543,.063,.323,8.1,30.0,19.1,3.8,0.6,1.9,12.0,11.5,,0.4,0.7,1.2,.117,,-4.1,0.7,-3.3,-0.2
12,Meyers Leonard\leoname01,25,33,254,17.8,.676,.333,.141,5.2,24.7,15.0,10.6,1.4,0.0,10.8,16.1,,0.7,0.3,1.1,.200,,1.2,-0.2,0.9,0.2
13,Caleb Swanigan\swanica01,20,27,189,7.5,.449,.133,.300,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20.0,,-0.3,0.3,0.0,-0.003,,-6.0,0.6,-5.4,-0.2
14,Jake Layman\laymaja01,23,35,160,4.9,.352,.426,.064,2.8,8.1,5.5,9.4,1.9,2.0,9.4,14.6,,-0.3,0.2,-0.1,-0.021,,-5.3,0.4,-5.0,-0.1
15,Wade Baldwin\baldwwa01,21,7,80,16.6,.748,.238,.476,1.4,9.5,5.5,9.8,1.2,1.0,13.6,16.1,,0.2,0.1,0.3,.187,,1.1,-1.1,0.0,0.0
16,Georgios Papagiannis\papagge01,20,1,4,58.1,1.000,.000,.000,27.5,0.0,13.6,0.0,24.9,0.0,0.0,11.0,,0.0,0.0,0.1,.675,,17.8,16.3,34.1,0.0
