No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,LaMarcus Aldridge\aldrila01,PF,6-11,260,July 19 1985,us,7,University of Texas at Austin
5,Will Barton\bartowi01,SG,6-6,190,January 6 1991,us,1,University of Memphis
88,Nicolas Batum\batumni01,SF,6-8,200,December 14 1988,fr,5,
18,Victor Claver\clavevi01,SF,6-9,224,August 30 1988,es,1,
23,Allen Crabbe\crabbal01,SG,6-6,212,April 9 1992,us,R,University of California
19,Joel Freeland\freeljo01,C,6-10,250,February 7 1987,gb,1,
11,Meyers Leonard\leoname01,C,7-1,255,February 27 1992,us,1,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6-3,195,July 15 1990,us,1,Weber State University
42,Robin Lopez\lopezro01,C,7-0,275,April 1 1988,us,5,Stanford University
2,Wesley Matthews\matthwe02,SG,6-5,220,October 14 1986,us,4,Marquette University
3,CJ McCollum\mccolcj01,SG,6-3,190,September 19 1991,us,R,Lehigh University
41,Thomas Robinson\robinth01,PF,6-10,237,March 17 1991,us,1,University of Kansas
17,Earl Watson\watsoea01,PG,6-1,195,June 12 1979,us,12,University of California Los Angeles
25,Mo Williams\willima01,PG,6-1,198,December 19 1982,us,10,University of Alabama
1,Dorell Wright\wrighdo01,SF,6-9,205,December 2 1985,us,9,
