Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Draymond Green\greendr01,25,81,2808,19.3,.587,.315,.402,5.5,23.0,14.7,29.0,2.0,3.0,21.2,18.8,,6.0,5.1,11.1,.190,,2.0,3.9,5.8,5.5
2,Stephen Curry\curryst01,27,79,2700,31.5,.669,.554,.250,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,,13.8,4.1,17.9,.318,,12.4,0.1,12.5,9.8
3,Klay Thompson\thompkl01,25,80,2666,18.6,.597,.469,.159,1.5,10.3,6.2,9.8,1.1,1.4,8.5,26.3,,5.5,2.6,8.0,.144,,2.9,-2.2,0.7,1.8
4,Harrison Barnes\barneha02,23,66,2042,12.3,.559,.338,.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,,3.1,1.9,4.9,.116,,0.4,-0.6,-0.2,0.9
5,Andre Iguodala\iguodan01,32,65,1732,12.2,.565,.418,.226,3.4,12.4,8.2,16.3,2.0,0.8,16.3,12.1,,2.3,2.1,4.4,.122,,0.3,1.3,1.6,1.6
6,Shaun Livingston\livinsh01,30,78,1520,13.8,.581,.032,.245,3.2,8.5,6.0,21.0,1.8,1.3,15.7,14.2,,2.9,1.7,4.6,.145,,-0.6,0.1,-0.5,0.6
7,Andrew Bogut\bogutan01,31,70,1451,15.9,.623,.004,.179,9.5,26.0,18.3,14.8,1.1,5.8,21.6,11.4,,2.6,2.9,5.4,.180,,-0.6,5.1,4.5,2.4
8,Leandro Barbosa\barbole01,33,68,1079,11.7,.545,.297,.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,,0.9,1.2,2.1,.092,,-1.2,-0.9,-2.1,0.0
9,Brandon Rush\rushbr01,30,72,1055,10.1,.560,.604,.108,2.3,15.4,9.2,7.0,0.9,1.6,10.8,12.5,,0.8,1.2,2.0,.090,,-1.2,-0.2,-1.3,0.2
10,Marreese Speights\speigma01,28,72,832,17.1,.506,.136,.250,10.6,19.8,15.5,11.4,1.1,3.0,11.5,29.7,,0.5,1.2,1.8,.102,,-2.9,-1.1,-3.9,-0.4
11,Festus Ezeli\ezelife01,26,46,770,17.7,.559,.000,.579,13.5,21.9,18.0,5.8,1.1,4.8,11.7,18.2,,1.4,1.3,2.7,.171,,-1.5,1.4,-0.1,0.4
12,Ian Clark\clarkia01,24,66,578,11.5,.544,.416,.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,,0.3,0.6,0.9,.075,,-1.8,-1.3,-3.0,-0.2
13,James Michael McAdoo\mcadoja01,23,41,262,15.9,.554,.024,.583,13.1,10.9,11.9,9.2,1.8,2.2,13.2,20.1,,0.5,0.3,0.8,.146,,-0.9,-0.3,-1.1,0.1
14,Anderson Varejao\varejan01,33,22,186,11.0,.477,.000,.604,8.0,20.2,14.5,10.5,1.3,2.0,9.0,15.5,,0.2,0.3,0.5,.120,,-3.3,0.8,-2.5,0.0
15,Jason Thompson\thompja02,29,28,179,13.3,.535,.000,.762,6.4,25.0,16.2,13.9,1.1,3.3,11.1,15.2,,0.3,0.3,0.6,.169,,-2.6,1.9,-0.7,0.1
16,Kevon Looney\looneke01,19,5,21,18.6,.643,.286,.000,21.8,29.1,25.6,0.0,0.0,0.0,12.5,16.5,,0.1,0.0,0.1,.192,,-1.2,-8.2,-9.5,0.0
