Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,John Wall\walljo01,24,79,2837,19.9,.523,.186,.310,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,,3.6,4.2,7.8,.132,,2.4,1.1,3.5,3.9
2,Marcin Gortat\gortama01,30,82,2453,18.2,.587,.004,.226,8.5,24.1,16.5,6.5,1.0,3.6,10.5,17.6,,4.4,4.2,8.6,.168,,-0.4,2.3,1.8,2.4
3,Bradley Beal\bealbr01,21,63,2107,14.0,.521,.304,.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,,1.3,2.4,3.7,.085,,0.5,-0.1,0.5,1.3
4,Paul Pierce\piercpa01,37,73,1914,15.2,.580,.462,.320,2.7,14.3,8.7,11.9,1.2,1.0,10.9,19.9,,3.2,2.3,5.5,.138,,1.7,-0.2,1.5,1.7
5,Nene Hilario\hilarne01,32,67,1693,14.3,.534,.008,.336,5.7,17.0,11.5,12.0,2.0,1.0,15.2,21.8,,0.5,2.5,3.0,.086,,-1.9,1.3,-0.6,0.6
6,Rasual Butler\butlera01,35,75,1505,11.4,.531,.455,.130,2.1,12.4,7.4,6.5,1.0,1.2,8.1,17.9,,1.0,1.6,2.6,.084,,-0.8,-0.8,-1.7,0.1
7,Otto Porter\porteot01,21,74,1432,11.6,.523,.266,.202,5.6,11.6,8.7,6.8,1.6,1.7,10.9,15.1,,1.0,1.8,2.7,.092,,-1.4,0.9,-0.4,0.6
8,Kris Humphries\humphkr01,29,64,1345,15.4,.512,.016,.262,10.1,24.4,17.4,6.7,1.3,1.5,8.5,18.3,,1.6,2.1,3.8,.134,,-2.0,0.7,-1.3,0.2
9,Kevin Seraphin\serapke01,25,79,1235,12.5,.535,.004,.182,8.1,17.9,13.1,8.0,0.4,3.8,16.8,21.5,,0.0,1.7,1.7,.066,,-3.7,0.7,-3.0,-0.3
10,Drew Gooden\goodedr01,33,51,864,11.9,.469,.214,.159,9.6,19.3,14.5,8.6,1.2,0.8,8.7,17.0,,0.5,1.2,1.7,.094,,-1.8,0.2,-1.6,0.1
11,Garrett Temple\templga01,28,52,735,10.9,.534,.518,.282,3.8,9.9,6.9,11.0,2.9,1.0,15.1,13.9,,0.4,1.1,1.5,.100,,-0.6,1.4,0.8,0.5
12,Andre Miller\millean02,38,51,631,14.3,.575,.056,.275,3.8,9.8,6.9,34.1,1.1,0.3,22.4,14.8,,1.0,0.6,1.6,.124,,-1.1,-1.6,-2.6,-0.1
13,Ramon Sessions\sessira01,28,28,546,14.7,.547,.212,.563,2.1,13.1,7.7,23.4,1.5,0.0,15.7,18.6,,0.8,0.6,1.4,.125,,-0.6,-0.5,-1.0,0.1
14,Martell Webster\webstma02,28,32,352,5.9,.445,.473,.703,3.3,11.3,7.4,6.7,1.0,0.2,15.6,18.2,,-0.3,0.3,0.0,.000,,-4.4,-1.6,-6.1,-0.4
15,DeJuan Blair\blairde01,25,29,180,7.7,.469,.000,.105,10.3,24.5,17.5,2.6,2.0,0.4,17.9,18.3,,-0.2,0.3,0.1,.033,,-6.4,-1.0,-7.4,-0.2
16,Will Bynum\bynumwi01,32,7,67,4.8,.336,.290,.129,3.4,6.6,5.0,42.2,0.8,1.2,19.6,27.6,,-0.2,0.1,-0.2,-0.132,,-5.8,-3.3,-9.1,-0.1
17,Glen Rice\ricegl02,24,5,43,-3.6,.312,.467,.400,5.4,5.1,5.2,6.5,0.0,0.0,10.2,20.7,,-0.1,0.0,-0.1,-0.121,,-7.0,-4.1,-11.1,-0.1
18,Toure' Murry\murryto01,25,4,17,3.6,.615,.000,.500,6.8,0.0,3.3,8.8,3.0,0.0,45.0,23.7,,-0.1,0.0,0.0,-0.120,,-8.4,-0.5,-9.0,0.0
